event_id,channel,layer,supermodule,row,column,sideband_mean,sideband_rms,nPulses,pulseHeight_max,pulseHeight_min,pulseArea_max,pulseArea_min,pulseDuriation_max,pulseDuriation_min,TDC,TDCRollovers
evt_0,6,0,-1,4,1,1.11634,6.47696,3,-67.2397,-22,1991,412,157.49,89.99,6.0839e+11,0
evt_0,7,0,-1,4,1,5.74252,0.912179,1,-23.5244,-23.5244,611,611,112.49,112.49,6.0839e+11,0
evt_0,20,0,-1,3,3,0.0259841,0.75065,2,-1250.31,-26.7264,95465,778,427.49,147.49,6.0839e+11,0
evt_0,21,0,-1,3,3,1.17288,0.688577,3,-1250.39,-28.8977,93297,936,479.99,142.49,6.0839e+11,0
evt_0,28,1,-1,3,1,-0.19063,0.853364,3,-1248.37,-55.3524,79860,1257,417.49,134.99,6.0839e+11,0
evt_0,29,1,-1,3,1,3.96703,1.14024,3,-1249.47,-35.2656,73013,898,382.49,127.49,6.0839e+11,0
evt_0,32,1,-1,1,2,-8.22652,3.87583,3,-63.7485,-20.3211,1721,581,152.49,107.49,6.0839e+11,0
evt_0,33,1,-1,1,2,2.96593,0.998301,2,-87.7285,-81.0924,2863,2684,184.99,182.49,6.0839e+11,0
evt_0,34,1,-1,2,2,4.31355,0.891952,4,-730.552,-27.0666,35707,595,357.49,104.99,6.0839e+11,0
evt_0,35,1,-1,2,2,5.88212,0.62451,3,-352.236,-17.1542,19896,366,334.99,79.99,6.0839e+11,0
evt_0,48,2,-1,1,1,1.90148,0.812247,1,-457.157,-457.157,21779,21779,319.99,319.99,6.0839e+11,0
evt_0,49,2,-1,1,1,-0.793949,0.830851,1,-191.236,-191.236,8442,8442,269.99,269.99,6.0839e+11,0
evt_0,56,2,-1,1,2,8.89221,0.952835,2,-547.512,-337.261,27558,14435,317.49,269.99,6.0839e+11,0
evt_0,57,2,-1,1,2,2.40052,1.28808,1,-233.437,-233.437,10607,10607,314.99,314.99,6.0839e+11,0
evt_1,14,0,-1,4,2,1.79799,0.822442,2,-171.789,-31.5923,7667,1063,267.49,142.49,6.08397e+11,0
evt_1,15,0,-1,4,2,0.0540626,0.737448,1,-35.8749,-35.8749,1375,1375,167.49,167.49,6.08397e+11,0
evt_1,32,1,-1,1,2,7.39259,0.803482,2,-61.8007,-24.5855,2332,637,189.99,109.99,6.08397e+11,0
evt_1,33,1,-1,1,2,7.40547,1.09197,1,-54.7852,-54.7852,1704,1704,157.49,157.49,6.08397e+11,0
evt_1,34,1,-1,2,2,0.774079,0.871021,3,-1250.31,-48.9176,106701,790,399.99,117.49,6.08397e+11,0
evt_1,35,1,-1,2,2,0.745315,1.64829,1,-1250.34,-1250.34,115294,115294,489.99,489.99,6.08397e+11,0
evt_1,62,2,-1,4,2,-2.45651,0.740457,3,-133.094,-37.9258,7008,388,282.49,74.99,6.08397e+11,0
evt_1,63,2,-1,4,2,-6.20658,0.853495,1,-399.246,-399.246,21332,21332,357.49,357.49,6.08397e+11,0
evt_1,71,2,-1,4,3,2.31577,0.702971,1,-35.0761,-35.0761,1153,1153,139.99,139.99,6.08397e+11,0
