event_id,channel,layer,supermodule,row,column,sideband_mean,sideband_rms,nPulses,pulseHeight_max,pulseHeight_min,pulseArea_max,pulseArea_min,pulseDuriation_max,pulseDuriation_min,TDC,TDCRollovers
evt_0,8,0,-1,1,2,0.53169,0.712465,1,-55.5786,-55.5786,1620,1620,152.49,152.49,4.10333e+10,0
evt_0,53,2,-1,3,1,-2.50187,0.711416,1,-32.4465,-32.4465,315,315,77.49,77.49,4.10333e+10,0
evt_0,56,2,-1,1,2,-21.9321,1.09837,1,-31.6754,-31.6754,21071,21071,2507.49,2507.49,4.10333e+10,0
evt_0,68,2,-1,3,3,13.3511,0.9603,3,-46.2077,-23.213,1206,571,132.49,104.99,4.10333e+10,0
evt_0,70,2,-1,4,3,-0.660777,0.767772,1,-115.329,-115.329,5485,5485,247.49,247.49,4.10333e+10,0
evt_0,71,2,-1,4,3,1.90613,0.702569,1,-241.944,-241.944,11233,11233,289.99,289.99,4.10333e+10,0
evt_0,80,3,-1,1,2,-11.1963,2.00965,2,-19.9623,-18.1597,1360,532,217.49,99.99,4.10333e+10,0
evt_1,32,1,-1,1,2,-1.50401,0.683159,1,-1250.23,-1250.23,84450,84450,417.49,417.49,4.11464e+10,0
evt_1,33,1,-1,1,2,-0.871693,0.367677,2,-1250.31,-66.6426,86836,2373,539.99,217.49,4.11464e+10,0
evt_1,56,2,-1,1,2,1.64012,0.995853,1,-191.738,-191.738,8823,8823,269.99,269.99,4.11464e+10,0
evt_1,57,2,-1,1,2,0.911404,0.781527,1,-66.4924,-66.4924,2902,2902,217.49,217.49,4.11464e+10,0
evt_1,60,2,-1,3,2,1.96023,0.767623,1,-23.2486,-23.2486,164,164,62.49,62.49,4.11464e+10,0
evt_1,61,2,-1,3,2,0.752006,0.77633,1,-34.3509,-34.3509,202,202,64.99,64.99,4.11464e+10,0
evt_1,80,3,-1,1,2,2.03915,1.03176,1,-91.1557,-91.1557,5184,5184,279.99,279.99,4.11464e+10,0
evt_1,81,3,-1,1,2,4.94883,1.02783,1,-206.017,-206.017,10425,10425,309.99,309.99,4.11464e+10,0
evt_1,93,3,-1,3,3,-4.35866,0.687905,1,-22.5325,-22.5325,5427,5427,764.99,764.99,0,4.53899e+18
evt_2,19,0,-1,2,3,0.775958,0.842828,1,-21.8453,-21.8453,762,762,122.49,122.49,4.12291e+10,0
evt_2,24,1,-1,1,1,4.19355,0.997748,1,-65.7276,-65.7276,2525,2525,187.49,187.49,4.12291e+10,0
evt_2,32,1,-1,1,2,-49.9657,4.44273,1,-40.6816,-40.6816,967,967,119.99,119.99,4.12291e+10,0
evt_2,62,2,-1,4,2,1.26875,1.17036,1,-55.6314,-55.6314,2796,2796,224.99,224.99,4.12291e+10,0
evt_2,63,2,-1,4,2,-0.937884,1.31233,1,-85.8948,-85.8948,5008,5008,267.49,267.49,4.12291e+10,0
evt_2,84,3,-1,3,2,-2.19063,0.598502,1,-176.478,-176.478,8236,8236,284.99,284.99,4.12291e+10,0
evt_3,7,0,-1,4,1,-1.4796,1.31097,1,-22.2654,-22.2654,807,807,124.99,124.99,4.12632e+10,0
evt_3,30,1,-1,4,1,-2.24847,1.02471,1,-256.467,-256.467,11744,11744,292.49,292.49,4.12632e+10,0
evt_3,50,2,-1,2,1,-1.73857,0.788704,2,-460.973,-180.522,22106,7946,342.49,262.49,4.12632e+10,0
evt_3,51,2,-1,2,1,-0.153933,0.636284,1,-825.519,-825.519,44738,44738,387.49,387.49,4.12632e+10,0
evt_3,62,2,-1,4,2,-0.0811574,0.808971,1,-90.033,-90.033,3793,3793,219.99,219.99,4.12632e+10,0
evt_3,63,2,-1,4,2,-0.835369,1.03245,2,-143.808,-56.006,6908,2232,272.49,192.49,4.12632e+10,0
evt_3,72,3,-1,1,1,-13.2683,2.26202,5,-21.3098,-16.3559,2636,347,407.49,67.49,4.12632e+10,0
evt_3,76,3,-1,3,1,-8.47698,1.00953,1,-16.2746,-16.2746,408,408,74.99,74.99,4.12632e+10,0
evt_3,78,3,-1,4,1,3.11577,1.07574,3,-501.909,-56.348,25625,2782,342.49,222.49,4.12632e+10,0
evt_4,12,0,-1,3,2,-0.210428,1.22718,2,-803.045,-30.0063,37367,1032,392.49,142.49,4.13267e+10,0
evt_4,13,0,-1,3,2,1.44297,0.796249,1,-1113.78,-1113.78,71259,71259,394.99,394.99,4.13267e+10,0
evt_4,49,2,-1,1,1,-1.13106,0.71082,1,-53.7091,-53.7091,348,348,67.49,67.49,4.13267e+10,0
evt_4,54,2,-1,4,1,2.37071,0.972864,1,-15.3781,-15.3781,62,62,59.99,59.99,4.13267e+10,0
evt_4,60,2,-1,3,2,-3.26048,1.40433,1,-26.3783,-26.3783,323,323,77.49,77.49,4.13267e+10,0
evt_4,61,2,-1,3,2,0.875261,0.991054,2,-78.3433,-25.9049,5754,252,324.99,82.49,4.13267e+10,0
evt_4,62,2,-1,4,2,-1.52752,1.03428,1,-53.522,-53.522,358,358,67.49,67.49,4.13267e+10,0
evt_4,65,2,-1,1,3,-1.2259,1.03487,1,-58.8654,-58.8654,2080,2080,179.99,179.99,4.13267e+10,0
