event_id,channel,layer,supermodule,row,column,sideband_mean,sideband_rms,nPulses,pulseHeight_max,pulseHeight_min,pulseArea_max,pulseArea_min,pulseDuriation_max,pulseDuriation_min,TDC,TDCRollovers
evt_0,12,0,-1,3,2,1.57032,0.979931,1,-549.913,-549.913,26235,26235,354.99,354.99,966106,0
evt_0,13,0,-1,3,2,5.68445,0.860997,1,-988.016,-988.016,58184,58184,492.49,492.49,966106,0
evt_0,34,1,-1,2,2,-2.50751,1.2721,3,-442.441,-15.0214,22073,196,342.49,54.99,966106,0
evt_0,35,1,-1,2,2,-4.47017,0.916367,1,-454.107,-454.107,24619,24619,362.49,362.49,966106,0
evt_0,44,1,-1,3,3,4.12211,0.885172,1,-34.0217,-34.0217,1038,1038,137.49,137.49,966114,0
evt_0,47,1,-1,4,3,9.5897,1.18809,1,-99.4696,-99.4696,4077,4077,277.49,277.49,966114,0
evt_0,67,2,-1,2,3,19.3025,0.813679,2,-25.6584,-21.9982,680,568,114.99,104.99,966106,0
evt_1,24,1,-1,1,1,0.585598,1.08271,1,-194.894,-194.894,8018,8018,262.49,262.49,5.01694e+07,0
evt_1,25,1,-1,1,1,-0.522928,0.774432,1,-299.511,-299.511,13970,13970,304.99,304.99,5.01694e+07,0
evt_1,32,1,-1,1,2,-0.832061,0.950889,1,-210.526,-210.526,11907,11907,322.49,322.49,5.01694e+07,0
evt_1,33,1,-1,1,2,-1.85791,0.630625,1,-578.052,-578.052,26469,26469,342.49,342.49,5.01694e+07,0
evt_1,34,1,-1,2,2,1.79456,1.06444,1,-34.0911,-34.0911,1213,1213,154.99,154.99,5.01694e+07,0
evt_1,35,1,-1,2,2,2.26663,0.696723,1,-263.126,-263.126,11582,11582,279.99,279.99,5.01694e+07,0
evt_1,48,2,-1,1,1,-3.47255,1.11307,1,-59.4373,-59.4373,1984,1984,167.49,167.49,5.01694e+07,0
evt_1,49,2,-1,1,1,-1.08759,0.790581,1,-18.4233,-18.4233,561,561,102.49,102.49,5.01694e+07,0
evt_1,54,2,-1,4,1,8.17976,1.25943,1,-38.8914,-38.8914,1166,1166,139.99,139.99,5.01694e+07,0
evt_1,57,2,-1,1,2,-0.719743,1.4943,1,-63.178,-63.178,751,751,87.49,87.49,5.01694e+07,0
evt_1,72,3,-1,1,1,-19.8038,1.33823,4,-27.7937,-24.3202,5789,1726,822.49,222.49,5.01694e+07,0
evt_1,78,3,-1,4,1,-4.01913,1.13143,1,-17.6141,-17.6141,991,991,167.49,167.49,5.01694e+07,0
evt_2,32,1,-1,1,2,2.18561,0.829214,1,-91.8417,-91.8417,5789,5789,362.49,362.49,1.37677e+08,0
evt_2,33,1,-1,1,2,-0.406617,0.748328,2,-271.067,-56.199,11773,1823,294.99,169.99,1.37677e+08,0
evt_2,56,2,-1,1,2,-11.8024,1.49144,6,-21.1953,-17.7291,2724,649,417.49,107.49,1.37677e+08,0
evt_2,60,2,-1,3,2,3.88167,0.773713,1,-43.4293,-43.4293,333,333,72.49,72.49,1.37677e+08,0
evt_2,61,2,-1,3,2,7.85764,0.704832,1,-52.1969,-52.1969,311,311,72.49,72.49,1.37677e+08,0
evt_2,71,2,-1,4,3,0.193865,0.943645,1,-64.542,-64.542,2535,2535,194.99,194.99,1.37677e+08,0
evt_2,80,3,-1,1,2,0.873508,1.16748,1,-177.293,-177.293,8942,8942,284.99,284.99,1.37677e+08,0
evt_2,81,3,-1,1,2,0.274137,1.57134,1,-61.6432,-61.6432,3866,3866,339.99,339.99,1.37677e+08,0
