event_id,channel,layer,supermodule,row,column,sideband_mean,sideband_rms,nPulses,pulseHeight_max,pulseHeight_min,pulseArea_max,pulseArea_min,pulseDuriation_max,pulseDuriation_min,TDC,TDCRollovers
evt_0,24,1,-1,1,1,-1.7732,0.906689,1,-188.343,-188.343,8074,8074,269.99,269.99,7.35279e+06,0
evt_0,25,1,-1,1,1,-4.28796,0.770562,2,-543.391,-54.5597,25748,2354,359.99,194.99,7.35279e+06,0
evt_0,45,1,-1,3,3,-0.379019,1.21554,1,-42.8897,-42.8897,1594,1594,167.49,167.49,7.35278e+06,0
evt_0,48,2,-1,1,1,3.58554,0.946931,1,-86.1969,-86.1969,3497,3497,219.99,219.99,7.35278e+06,0
evt_0,49,2,-1,1,1,1.45612,0.830003,3,-220.553,-29.4721,9963,311,282.49,84.99,7.35278e+06,0
evt_0,56,2,-1,1,2,24.9578,4.9759,1,-211.717,-211.717,6646,6646,189.99,189.99,7.35279e+06,0
evt_0,67,2,-1,2,3,-0.925298,0.444335,1,-39.1163,-39.1163,1630,1630,177.49,177.49,7.35279e+06,0
evt_0,72,3,-1,1,1,-8.41691,0.765304,4,-21.3078,-15.0224,1058,298,162.49,54.99,7.35279e+06,0
evt_0,82,3,-1,2,2,-13.4805,5.62673,1,-33.6927,-33.6927,14332,14332,2504.99,2504.99,7.35279e+06,0
evt_0,90,3,-1,2,3,-5.76396,0.909972,1,-24.6897,-24.6897,175,175,57.49,57.49,1.49602e+14,4.65221e+18
evt_1,25,1,-1,1,1,1.02354,0.805812,1,-39.7256,-39.7256,1477,1477,164.99,164.99,3.02767e+07,0
evt_1,72,3,-1,1,1,-17.2351,0.865374,4,-20.6634,-16.9295,2670,384,399.99,74.99,3.02767e+07,0
evt_1,78,3,-1,4,1,-10.4836,0.85261,3,-20.0184,-17.3091,3037,460,482.49,84.99,3.02767e+07,0
evt_2,24,1,-1,1,1,0.011028,0.871062,1,-253.796,-253.796,10468,10468,264.99,264.99,7.14101e+07,0
evt_2,25,1,-1,1,1,-0.109624,0.904524,1,-466.197,-466.197,25932,25932,389.99,389.99,7.14101e+07,0
evt_2,48,2,-1,1,1,-1249.22,0.569426,4,-1249.02,-46.0878,32444,1799,297.49,149.99,7.14101e+07,0
evt_2,49,2,-1,1,1,-954.308,3.5682,4,-943.925,-26.0452,21083,595,354.99,109.99,7.14101e+07,0
evt_3,37,1,-1,3,2,0.491958,0.862342,1,-52.6447,-52.6447,1882,1882,174.99,174.99,8.51126e+07,0
evt_3,49,2,-1,1,1,-0.756696,0.809504,1,-22.7642,-22.7642,795,795,124.99,124.99,8.51126e+07,0
evt_3,54,2,-1,4,1,18.5701,1.04327,1,-31.6053,-31.6053,466,466,97.49,97.49,8.51126e+07,0
evt_3,55,2,-1,4,1,23.5816,1.13381,4,-240.447,-27.5988,8734,453,229.99,97.49,8.51126e+07,0
evt_3,78,3,-1,4,1,-6.52009,1.57853,1,-15.2865,-15.2865,296,296,57.49,57.49,8.51126e+07,0
evt_3,80,3,-1,1,2,-10.2516,0.633013,5,-23.0688,-15.124,4911,272,709.99,59.99,8.51126e+07,0
evt_3,93,3,-1,3,3,-16.3547,1.94804,3,-22.0355,-16.5071,911,804,159.99,129.99,0,0
evt_4,34,1,-1,2,2,3.98293,0.759168,1,-68.2038,-68.2038,2557,2557,189.99,189.99,1.44677e+08,0
evt_4,49,2,-1,1,1,0.306111,0.519082,1,-67.0955,-67.0955,452,452,69.99,69.99,1.44677e+08,0
evt_4,58,2,-1,2,2,-1.1497,0.731498,1,-184.029,-184.029,11815,11815,397.49,397.49,1.44677e+08,0
evt_4,80,3,-1,1,2,-19.2024,0.686136,5,-25.289,-15.1501,3082,556,469.99,107.49,1.44677e+08,0
evt_4,93,3,-1,3,3,-5.10377,0.699055,3,-21.2738,-15.3278,2100,305,314.99,57.49,0,0
evt_5,4,0,-1,3,1,-0.383958,0.937968,1,-20.1293,-20.1293,654,654,114.99,114.99,1.53105e+08,0
evt_5,5,0,-1,3,1,0.157423,0.702791,1,-45.1773,-45.1773,1833,1833,179.99,179.99,1.53105e+08,0
evt_5,7,0,-1,4,1,-1.74311,0.713086,1,-26.2685,-26.2685,784,784,119.99,119.99,1.53105e+08,0
evt_5,16,0,-1,1,3,-0.0168531,0.971961,1,-60.3874,-60.3874,2206,2206,179.99,179.99,1.53105e+08,0
evt_5,18,0,-1,2,3,-98.6543,14.1813,1,-72.8187,-72.8187,1514,1514,139.99,139.99,1.53105e+08,0
evt_5,19,0,-1,2,3,-26.8917,4.63084,2,-33.667,-20.0123,1370,350,169.99,67.49,1.53105e+08,0
evt_5,24,1,-1,1,1,5.14288,0.944705,1,-71.215,-71.215,3594,3594,227.49,227.49,1.53105e+08,0
evt_5,25,1,-1,1,1,2.04265,0.870144,2,-125.66,-41.6699,5568,1649,249.99,172.49,1.53105e+08,0
evt_5,56,2,-1,1,2,-20.6256,0.998151,10,-21.6208,-15.7914,3532,349,542.49,62.49,1.53105e+08,0
evt_5,72,3,-1,1,1,-14.9046,0.940861,6,-24.3706,-16.0886,5824,135,799.99,22.49,1.53105e+08,0
evt_5,78,3,-1,4,1,-11.9413,1.45961,1,-16.3937,-16.3937,308,308,57.49,57.49,1.53105e+08,0
evt_5,93,3,-1,3,3,-3.33389,1.14612,5,-20.2454,-15.2115,2328,254,359.99,54.99,0,0
evt_6,20,0,-1,3,3,-0.956495,0.631865,1,-43.8813,-43.8813,1762,1762,184.99,184.99,2.26506e+08,0
evt_6,37,1,-1,3,2,5.15631,1.14878,1,-60.2753,-60.2753,2218,2218,187.49,187.49,2.26506e+08,0
evt_6,50,2,-1,2,1,0.031371,0.903004,1,-177.666,-177.666,11765,11765,374.99,374.99,2.26506e+08,0
evt_6,51,2,-1,2,1,1.80292,0.80042,1,-248.432,-248.432,14113,14113,424.99,424.99,2.26506e+08,0
evt_6,94,3,-1,4,3,5.64735,0.994795,2,-48.6822,-22.878,1797,642,172.49,112.49,4.38087e+11,0
evt_7,12,0,-1,3,2,5.89251,0.782575,1,-38.9627,-38.9627,878,878,69.99,69.99,2.42448e+08,0
evt_7,20,0,-1,3,3,0.912191,0.653994,2,-445.605,-21.1968,36093,559,597.49,97.49,2.42448e+08,0
evt_7,21,0,-1,3,3,0.901195,0.963153,1,-462.838,-462.838,24048,24048,387.49,387.49,2.42448e+08,0
evt_8,25,1,-1,1,1,1.71749,0.660204,1,-45.7127,-45.7127,1810,1810,177.49,177.49,3.96899e+08,0
evt_8,52,2,-1,3,1,2.01141,1.6184,1,-39.7604,-39.7604,397,397,79.99,79.99,3.96899e+08,0
evt_8,53,2,-1,3,1,-1.55231,0.981942,1,-48.7966,-48.7966,416,416,77.49,77.49,3.96899e+08,0
evt_8,60,2,-1,3,2,-7.90621,0.851892,1,-103.272,-103.272,634,634,29.99,29.99,3.96899e+08,0
evt_8,61,2,-1,3,2,1.39417,0.770064,1,-161.156,-161.156,980,980,32.49,32.49,3.96899e+08,0
evt_8,72,3,-1,1,1,-7.88391,1.16212,6,-23.2556,-15.6301,3398,400,504.99,77.49,3.96899e+08,0
evt_9,3,0,-1,2,1,-7.79693,5.29376,4,-16.7888,-16.2416,760,195,244.99,57.49,4.75785e+08,0
evt_9,4,0,-1,3,1,1.01178,0.966152,1,-25.9621,-25.9621,937,937,137.49,137.49,4.75785e+08,0
evt_9,25,1,-1,1,1,-2.55796,0.741838,1,-51.8503,-51.8503,2095,2095,192.49,192.49,4.75785e+08,0
evt_9,33,1,-1,1,2,3.37168,0.748719,1,-49.6045,-49.6045,1615,1615,162.49,162.49,4.75785e+08,0
evt_9,37,1,-1,3,2,-1.46688,1.13365,1,-90.1669,-90.1669,3560,3560,207.49,207.49,4.75785e+08,0
evt_9,58,2,-1,2,2,1.74612,0.755885,3,-1249.51,-33.8938,65601,983,412.49,87.49,4.75785e+08,0
evt_9,59,2,-1,2,2,0.38336,0.854408,1,-913.012,-913.012,47756,47756,369.99,369.99,4.75785e+08,0
evt_9,72,3,-1,1,1,-0.0931688,2.05305,1,-69.8099,-69.8099,3303,3303,222.49,222.49,4.75785e+08,0
evt_9,73,3,-1,1,1,-0.581578,0.909346,1,-131.53,-131.53,6845,6845,272.49,272.49,4.75785e+08,0
evt_9,90,3,-1,2,3,39.7966,1.27044,2,-124.177,-55.8089,4666,1065,224.99,127.49,1.49602e+14,0
evt_9,91,3,-1,2,3,45.2398,5.82611,1,-22.4197,-22.4197,363,363,107.49,107.49,0,0
evt_10,24,1,-1,1,1,4.0099,0.787902,1,-42.5096,-42.5096,1432,1432,152.49,152.49,4.76003e+08,0
evt_10,25,1,-1,1,1,0.450508,1.03314,1,-43.1204,-43.1204,1693,1693,174.99,174.99,4.76003e+08,0
evt_10,49,2,-1,1,1,-0.268751,0.687233,1,-33.1687,-33.1687,1309,1309,159.99,159.99,4.76003e+08,0
evt_10,72,3,-1,1,1,6.2833,1.15387,1,-21.1175,-21.1175,674,674,117.49,117.49,4.76003e+08,0
evt_10,73,3,-1,1,1,-2.76817,1.34247,2,-185.402,-63.402,8343,1648,262.49,84.99,4.76003e+08,0
evt_10,76,3,-1,3,1,-24.8428,5.0735,1,-489.599,-489.599,25189,25189,332.49,332.49,4.76003e+08,0
evt_10,77,3,-1,3,1,-7.71456,4.40204,2,-20.3981,-19.5154,368,294,87.49,87.49,4.76003e+08,0
evt_11,3,0,-1,2,1,-7.15062,5.55475,1,-16.8508,-16.8508,447,447,139.99,139.99,4.97775e+08,0
evt_11,42,1,-1,2,3,-1.27381,0.963453,1,-235.225,-235.225,13695,13695,324.99,324.99,4.97775e+08,0
evt_11,43,1,-1,2,3,-0.0767661,0.972758,1,-146.744,-146.744,6269,6269,254.99,254.99,4.97775e+08,0
evt_11,61,2,-1,3,2,2.00901,0.834317,1,-34.4016,-34.4016,178,178,64.99,64.99,4.97775e+08,0
evt_11,67,2,-1,2,3,-0.364302,0.729215,1,-86.7716,-86.7716,3764,3764,222.49,222.49,4.97775e+08,0
evt_11,71,2,-1,4,3,-11.669,1.07127,6,-18.3392,-15.3624,4355,306,719.99,54.99,4.97775e+08,0
evt_11,82,3,-1,2,2,-2.75119,5.98488,1,-18.3369,-18.3369,307,307,112.49,112.49,4.97775e+08,0
evt_11,90,3,-1,2,3,-1.01839,1.13475,1,-164.776,-164.776,6840,6840,259.99,259.99,1.49602e+14,0
evt_11,91,3,-1,2,3,-4.9557,1.0159,1,-96.99,-96.99,4116,4116,229.99,229.99,0,0
evt_11,93,3,-1,3,3,-16.9017,0.721076,3,-25.0477,-19.5555,3027,1324,449.99,192.49,0,0
evt_12,15,0,-1,4,2,69.4331,0.763817,1,-516.403,-516.403,20231,20231,249.99,249.99,5.5129e+08,0
evt_12,22,0,-1,4,3,-2.76271,1.12333,2,-860.032,-60.4279,40719,2076,364.99,174.99,5.5129e+08,0
evt_12,23,0,-1,4,3,2.03073,2.99399,1,-120.359,-120.359,5508,5508,257.49,257.49,5.5129e+08,0
evt_12,40,1,-1,1,3,70.173,0.692777,1,-291.729,-291.729,8865,8865,197.49,197.49,5.5129e+08,0
evt_12,44,1,-1,3,3,0.123787,0.60611,3,-751.178,-22.2268,40324,477,382.49,94.99,5.5129e+08,0
evt_12,45,1,-1,3,3,0.721355,1.15094,3,-513.693,-37.7043,31184,982,462.49,132.49,5.5129e+08,0
evt_12,58,2,-1,2,2,1.11397,0.826953,2,-1250.23,-230.996,121031,8998,644.99,239.99,5.5129e+08,0
evt_12,59,2,-1,2,2,-1.416,0.730833,1,-1250.8,-1250.8,124284,124284,719.99,719.99,5.5129e+08,0
