event_id,channel,layer,supermodule,row,column,sideband_mean,sideband_rms,nPulses,pulseHeight_max,pulseHeight_min,pulseArea_max,pulseArea_min,pulseDuriation_max,pulseDuriation_min,TDC,TDCRollovers
evt_0,9,0,-1,1,2,-4.16249,6.56772,1,-44.53,-44.53,1326,1326,144.99,144.99,1.61571e+06,0
evt_0,14,0,-1,4,2,1.8872,0.660106,1,-357.955,-357.955,18277,18277,347.49,347.49,1.61571e+06,0
evt_0,15,0,-1,4,2,2.43719,0.860807,1,-518.116,-518.116,25615,25615,347.49,347.49,1.61571e+06,0
evt_0,24,1,-1,1,1,10.7933,0.83518,3,-553.843,-28.3273,26260,1014,457.49,142.49,1.61571e+06,0
evt_0,25,1,-1,1,1,14.5709,0.639082,1,-1155.18,-1155.18,60859,60859,384.99,384.99,1.61571e+06,0
evt_0,48,2,-1,1,1,5.04862,0.80433,1,-306.602,-306.602,12327,12327,272.49,272.49,1.61571e+06,0
evt_0,49,2,-1,1,1,0.662525,0.75936,1,-347.241,-347.241,19804,19804,342.49,342.49,1.61571e+06,0
evt_0,56,2,-1,1,2,-18.1202,0.885922,10,-18.5656,-15.2126,1782,289,302.49,52.49,1.61571e+06,0
evt_0,72,3,-1,1,1,-10.3186,0.795252,7,-21.3492,-15.5932,1891,277,287.49,54.99,1.61571e+06,0
evt_0,80,3,-1,1,2,-10.6071,1.03394,1,-114.97,-114.97,5823,5823,279.99,279.99,1.61571e+06,0
evt_0,81,3,-1,1,2,1.67703,1.05323,1,-65.4679,-65.4679,3288,3288,244.99,244.99,1.61571e+06,0
evt_1,10,0,-1,2,2,1.54866,0.962888,1,-534.734,-534.734,27070,27070,342.49,342.49,1.9161e+07,0
evt_1,11,0,-1,2,2,-0.775246,0.840598,2,-883.817,-33.7024,53504,1974,414.99,222.49,1.9161e+07,0
evt_1,24,1,-1,1,1,1.40035,1.0787,1,-278.122,-278.122,13150,13150,294.99,294.99,1.9161e+07,0
evt_1,25,1,-1,1,1,1.0545,0.909594,2,-305.267,-46.3608,15342,1825,307.49,177.49,1.9161e+07,0
evt_1,56,2,-1,1,2,-0.35129,0.894763,1,-470.267,-470.267,23750,23750,329.99,329.99,1.9161e+07,0
evt_1,57,2,-1,1,2,0.0661932,0.793955,2,-252.807,-18.6445,14691,452,319.99,92.49,1.9161e+07,0
evt_1,58,2,-1,2,2,-0.129405,0.779443,2,-318.724,-19.0636,15753,529,322.49,99.99,1.9161e+07,0
evt_1,59,2,-1,2,2,1.73723,0.568728,1,-674.633,-674.633,32638,32638,354.99,354.99,1.9161e+07,0
evt_1,72,3,-1,1,1,0.951317,0.641659,2,-708.553,-113.613,37380,4812,357.49,227.49,1.9161e+07,0
evt_1,73,3,-1,1,1,2.98064,0.712176,3,-741.914,-27.5651,39645,981,362.49,134.99,1.9161e+07,0
evt_1,76,3,-1,3,1,-0.621318,0.86393,1,-15.2886,-15.2886,301,301,54.99,54.99,1.9161e+07,0
evt_2,28,1,-1,3,1,-1.67355,0.983494,1,-20.3197,-20.3197,528,528,99.99,99.99,6.3757e+07,0
evt_2,41,1,-1,1,3,-0.0688325,0.850856,1,-31.9137,-31.9137,1200,1200,152.49,152.49,6.3757e+07,0
evt_2,60,2,-1,3,2,-0.66133,0.568201,1,-884.39,-884.39,47365,47365,427.49,427.49,6.3757e+07,0
evt_2,61,2,-1,3,2,1.81072,0.791158,2,-1249.74,-18.8325,68204,291,384.99,77.49,6.3757e+07,0
evt_2,62,2,-1,4,2,0.244181,0.922579,1,-45.2256,-45.2256,2262,2262,219.99,219.99,6.3757e+07,0
evt_2,63,2,-1,4,2,2.24429,0.6238,1,-144.266,-144.266,5928,5928,247.49,247.49,6.3757e+07,0
evt_2,72,3,-1,1,1,-17.8611,1.37539,8,-21.0828,-16.1553,1362,426,222.49,82.49,6.3757e+07,0
evt_2,76,3,-1,3,1,5.20772,0.962029,1,-190.354,-190.354,9593,9593,287.49,287.49,6.3757e+07,0
evt_2,77,3,-1,3,1,0.696695,0.649687,1,-262.947,-262.947,12322,12322,299.99,299.99,6.3757e+07,0
evt_2,80,3,-1,1,2,-13.0091,0.905431,4,-21.6443,-16.7346,1424,321,234.99,67.49,6.3757e+07,0
evt_3,4,0,-1,3,1,0.814001,0.595261,1,-24.4381,-24.4381,1032,1032,152.49,152.49,7.68781e+07,0
evt_3,5,0,-1,3,1,-1.50017,0.794687,1,-47.7727,-47.7727,1835,1835,174.99,174.99,7.68781e+07,0
evt_3,20,0,-1,3,3,0.383574,0.801197,1,-98.0566,-98.0566,4231,4231,239.99,239.99,7.68781e+07,0
evt_3,21,0,-1,3,3,-0.0148781,0.869658,1,-125.241,-125.241,7697,7697,372.49,372.49,7.68781e+07,0
evt_3,25,1,-1,1,1,1.20216,1.08953,2,-106.752,-33.1316,4455,1213,229.99,152.49,7.68781e+07,0
evt_3,50,2,-1,2,1,0.166682,0.855433,1,-67.4705,-67.4705,3511,3511,234.99,234.99,7.68781e+07,0
evt_3,51,2,-1,2,1,1.10647,0.888616,2,-39.2264,-18.4197,1579,181,172.49,59.99,7.68781e+07,0
evt_3,72,3,-1,1,1,-6.24254,1.3386,2,-466.496,-18.4881,26022,607,374.99,109.99,7.68781e+07,0
evt_3,73,3,-1,1,1,-3.75569,1.27182,1,-456.971,-456.971,25597,25597,429.99,429.99,7.68781e+07,0
evt_4,20,0,-1,3,3,11.4252,0.794763,4,-1044.77,-17.0424,51608,286,469.99,74.99,1.16899e+08,0
evt_4,21,0,-1,3,3,7.41321,0.979873,1,-486.594,-486.594,24429,24429,367.49,367.49,1.16899e+08,0
evt_4,26,1,-1,2,1,-2.93551,1.29037,1,-57.1494,-57.1494,2342,2342,207.49,207.49,1.16899e+08,0
evt_4,42,1,-1,2,3,-3.96212,0.766341,2,-1250.23,-74.611,69380,2884,379.99,197.49,1.16899e+08,0
evt_4,43,1,-1,2,3,-0.657229,0.770405,1,-307.974,-307.974,14013,14013,329.99,329.99,1.16899e+08,0
evt_4,48,2,-1,1,1,0.712302,0.902784,1,-253.037,-253.037,13112,13112,312.49,312.49,1.16899e+08,0
evt_4,49,2,-1,1,1,-0.421946,0.634835,1,-104.115,-104.115,5834,5834,277.49,277.49,1.16899e+08,0
evt_4,50,2,-1,2,1,-0.474872,0.844214,1,-22.2286,-22.2286,216,216,69.99,69.99,1.16899e+08,0
evt_4,72,3,-1,1,1,-0.302341,0.854501,1,-16.4324,-16.4324,785,785,137.49,137.49,1.16899e+08,0
evt_4,73,3,-1,1,1,1.91979,0.866086,1,-47.5787,-47.5787,1904,1904,184.99,184.99,1.16899e+08,0
evt_4,80,3,-1,1,2,-12.3187,1.22099,5,-22.3988,-16.5689,1952,546,287.49,109.99,1.16899e+08,0
evt_5,93,3,-1,3,3,-3.52356,1.02677,1,-16.3938,-16.3938,421,421,77.49,77.49,0,0
evt_6,14,0,-1,4,2,-0.20934,0.961437,1,-384.304,-384.304,20697,20697,344.99,344.99,3.76443e+08,0
evt_6,15,0,-1,4,2,0.634614,0.82189,1,-509.392,-509.392,28169,28169,489.99,489.99,3.76443e+08,0
evt_6,26,1,-1,2,1,-4.53539,1.01812,1,-76.2166,-76.2166,3222,3222,222.49,222.49,3.76443e+08,0
evt_6,27,1,-1,2,1,2.11713,0.936185,1,-172.97,-172.97,7571,7571,259.99,259.99,3.76443e+08,0
evt_6,28,1,-1,3,1,-0.677384,0.967306,1,-64.4583,-64.4583,1999,1999,162.49,162.49,3.76443e+08,0
evt_6,49,2,-1,1,1,-1.62944,0.781035,1,-46.7384,-46.7384,1923,1923,179.99,179.99,3.76443e+08,0
evt_6,54,2,-1,4,1,0.430312,0.754579,1,-85.0946,-85.0946,2622,2622,184.99,184.99,3.76443e+08,0
evt_6,55,2,-1,4,1,0.305892,0.917542,2,-363.873,-35.6779,15408,1026,287.49,129.99,3.76443e+08,0
evt_6,56,2,-1,1,2,0.845489,0.728526,1,-48.1838,-48.1838,456,456,79.99,79.99,3.76443e+08,0
evt_6,57,2,-1,1,2,1.88368,0.633265,1,-67.889,-67.889,589,589,77.49,77.49,3.76443e+08,0
evt_6,72,3,-1,1,1,14.7904,1.06008,1,-39.6826,-39.6826,1733,1733,182.49,182.49,3.76443e+08,0
evt_6,73,3,-1,1,1,1.96379,1.13654,1,-131.264,-131.264,6267,6267,254.99,254.99,3.76443e+08,0
evt_6,81,3,-1,1,2,0.0509157,0.746543,1,-15.4287,-15.4287,402,402,79.99,79.99,3.76443e+08,0
evt_7,14,0,-1,4,2,0.460761,0.937692,1,-47.6279,-47.6279,1917,1917,182.49,182.49,5.66898e+08,0
evt_7,15,0,-1,4,2,-0.125143,0.655333,1,-25.7717,-25.7717,957,957,139.99,139.99,5.66898e+08,0
evt_7,38,1,-1,4,2,0.510711,0.903093,1,-38.0095,-38.0095,1263,1263,154.99,154.99,5.66898e+08,0
evt_7,39,1,-1,4,2,-1.68156,1.20687,1,-30.4229,-30.4229,1200,1200,154.99,154.99,5.66898e+08,0
evt_7,56,2,-1,1,2,2.89401,0.765436,1,-35.7256,-35.7256,1545,1545,177.49,177.49,5.66898e+08,0
evt_7,62,2,-1,4,2,-0.687024,1.2153,1,-342.184,-342.184,17266,17266,334.99,334.99,5.66898e+08,0
evt_7,63,2,-1,4,2,-2.86881,1.00567,2,-1069.05,-40.7143,57501,1858,399.99,234.99,5.66898e+08,0
evt_7,78,3,-1,4,1,-6.87409,1.16289,1,-16.7763,-16.7763,456,456,84.99,84.99,5.66898e+08,0
evt_7,80,3,-1,1,2,-2.53314,1.15383,1,-16.7477,-16.7477,471,471,89.99,89.99,5.66898e+08,0
evt_7,92,3,-1,3,3,-5.37418,0.797581,2,-15.7844,-15.5215,425,314,77.49,59.99,0,0
evt_7,93,3,-1,3,3,-12.8449,0.818641,8,-17.8434,-15.3642,784,294,142.49,54.99,0,0
evt_8,6,0,-1,4,1,0.690283,0.805482,1,-994.842,-994.842,48300,48300,352.49,352.49,6.20231e+08,0
evt_8,7,0,-1,4,1,0.216684,0.921145,1,-318.912,-318.912,16958,16958,352.49,352.49,6.20231e+08,0
evt_8,10,0,-1,2,2,-0.114357,1.05934,1,-130.918,-130.918,5672,5672,249.99,249.99,6.20231e+08,0
evt_8,11,0,-1,2,2,0.695128,0.74658,1,-269.657,-269.657,12028,12028,289.99,289.99,6.20231e+08,0
evt_8,26,1,-1,2,1,-0.464746,1.42007,1,-49.9446,-49.9446,2254,2254,207.49,207.49,6.20231e+08,0
evt_8,27,1,-1,2,1,1.90262,0.689066,1,-59.477,-59.477,3180,3180,269.99,269.99,6.20231e+08,0
evt_8,34,1,-1,2,2,0.518481,1.04422,2,-1250.56,-80.9775,111868,2472,679.99,189.99,6.20231e+08,0
evt_8,35,1,-1,2,2,0.490363,0.875597,2,-1250,-24.0949,81556,546,449.99,107.49,6.20231e+08,0
evt_8,58,2,-1,2,2,1.53678,1.12134,2,-1250.12,-362.499,112039,22393,647.49,464.99,6.20231e+08,0
evt_8,59,2,-1,2,2,-1.32689,0.86519,2,-1250.39,-51.4307,96544,1543,432.49,152.49,6.20231e+08,0
evt_8,82,3,-1,2,2,-14.0301,1.65364,3,-21.7324,-19.1748,7624,2305,1259.99,402.49,6.20231e+08,0
evt_8,93,3,-1,3,3,-18.3386,0.805287,3,-18.7194,-16.0887,777,470,129.99,84.99,0,0
evt_9,20,0,-1,3,3,0.744815,0.51849,2,-243.829,-42.511,11094,1511,289.99,162.49,6.40535e+08,0
