channel,<none; IF-only>,nPulses_median,sideband_rms_mean,nPulses_std,sideband_mean_mean,sideband_mean_median,pulseArea_min_median,pulseHeight_max_std,pulseHeight_min_median,pulseArea_min_mean,pulseDuriation_max_median,pulseDuriation_max_std,pulseDuriation_min_mean,pulseDuriation_min_std,sideband_rms_median
82,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0
23,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
1,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0
22,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
14,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
15,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
