frequency_rank,channel,n_bulk_only_files_anomalous,fraction_of_18_files,n_statistical_only_rows,n_if_only_rows,n_statistical_if_rows,n_other_method_rows,median_max_z_when_anomalous,maximum_max_z,median_if_score_when_anomalous
1,82,17,0.9444444444444444,0,16,1,0,5.92,8.87,-0.6546
2,3,14,0.7777777777777778,0,13,1,0,5.645,9.52,-0.65405
3,9,5,0.2777777777777778,3,1,1,0,9.0,9.32,-0.5763
4,23,4,0.2222222222222222,4,0,0,0,10.275,12.97,-0.5808
5,1,4,0.2222222222222222,2,1,1,0,9.17,11.69,-0.61025
6,22,4,0.2222222222222222,3,1,0,0,8.715,9.97,-0.5953999999999999
7,16,3,0.16666666666666666,3,0,0,0,9.11,14.77,-0.5483
8,14,3,0.16666666666666666,1,2,0,0,6.33,9.95,-0.655
9,8,3,0.16666666666666666,2,0,1,0,9.12,9.83,-0.6297
10,15,3,0.16666666666666666,0,2,1,0,6.27,8.47,-0.684
11,7,3,0.16666666666666666,0,3,0,0,5.58,7.41,-0.6593
12,32,2,0.1111111111111111,2,0,0,0,13.17,13.17,-0.56545
13,70,2,0.1111111111111111,1,0,1,0,11.84,11.84,-0.6391
14,12,2,0.1111111111111111,0,0,2,0,10.565000000000001,11.64,-0.6408499999999999
15,4,2,0.1111111111111111,1,0,1,0,10.15,10.99,-0.6182
16,27,2,0.1111111111111111,1,1,0,0,8.040000000000001,10.97,-0.61375
17,26,2,0.1111111111111111,2,0,0,0,9.145,10.29,-0.5641
18,6,2,0.1111111111111111,0,2,0,0,6.140000000000001,7.58,-0.65025
19,64,1,0.05555555555555555,1,0,0,0,14.56,14.56,-0.4926
20,36,1,0.05555555555555555,1,0,0,0,14.38,14.38,-0.5793
21,76,1,0.05555555555555555,1,0,0,0,13.13,13.13,-0.559
22,17,1,0.05555555555555555,1,0,0,0,12.08,12.08,-0.5577
23,40,1,0.05555555555555555,1,0,0,0,11.93,11.93,-0.5495
24,75,1,0.05555555555555555,1,0,0,0,11.22,11.22,-0.5374
25,18,1,0.05555555555555555,1,0,0,0,10.56,10.56,-0.5549
26,43,1,0.05555555555555555,1,0,0,0,9.47,9.47,-0.5987
27,0,1,0.05555555555555555,1,0,0,0,9.42,9.42,-0.5557
28,2,1,0.05555555555555555,1,0,0,0,8.89,8.89,-0.5231
29,66,1,0.05555555555555555,1,0,0,0,8.88,8.88,-0.5364
30,13,1,0.05555555555555555,1,0,0,0,8.64,8.64,-0.6306
31,79,1,0.05555555555555555,1,0,0,0,8.49,8.49,-0.52
32,77,1,0.05555555555555555,1,0,0,0,8.48,8.48,-0.5023
33,10,1,0.05555555555555555,1,0,0,0,8.38,8.38,-0.6037
34,5,1,0.05555555555555555,0,1,0,0,7.47,7.47,-0.6795
