triggered_feature,n_anomalous_row_occurrences,n_bulk_only_files,fraction_of_18_files,statistical_occurrences,if_only_occurrences,statistical_if_occurrences,other_method_occurrences,fraction_of_93_anomalous_rows
<none; IF-only>,43,17,0.9444444444444444,0,43,0,0,0.46236559139784944
nPulses_median,13,11,0.6111111111111112,10,0,3,0,0.13978494623655913
sideband_rms_mean,11,6,0.3333333333333333,9,0,2,0,0.11827956989247312
nPulses_std,8,6,0.3333333333333333,7,0,1,0,0.08602150537634409
sideband_mean_mean,6,5,0.2777777777777778,5,0,1,0,0.06451612903225806
sideband_mean_median,4,3,0.16666666666666666,4,0,0,0,0.043010752688172046
pulseArea_min_median,2,2,0.1111111111111111,1,0,1,0,0.021505376344086023
pulseHeight_max_std,2,2,0.1111111111111111,2,0,0,0,0.021505376344086023
pulseHeight_min_median,2,2,0.1111111111111111,1,0,1,0,0.021505376344086023
pulseArea_min_mean,2,1,0.05555555555555555,1,0,1,0,0.021505376344086023
pulseDuriation_max_median,1,1,0.05555555555555555,0,0,1,0,0.010752688172043012
pulseDuriation_max_std,1,1,0.05555555555555555,0,0,1,0,0.010752688172043012
pulseDuriation_min_mean,1,1,0.05555555555555555,0,0,1,0,0.010752688172043012
pulseDuriation_min_std,1,1,0.05555555555555555,0,0,1,0,0.010752688172043012
sideband_rms_median,1,1,0.05555555555555555,1,0,0,0,0.010752688172043012
