selection_role,sequence_index,subrun,filename,filepath,file_row_count,file_unique_events,file_unique_channels,file_mean_channels_per_event,file_max_channels_per_event,n_anomalous_channels_in_file,mean_channel_set_jaccard_to_other_bulk_files,channel,method,triggered_features,max_z_log,if_score_log,channel_rows,channel_unique_events,occupancy,occupancy_z,frac_dead,frac_dead_z,nPulses_min,nPulses_max,nPulses_mean,nPulses_std,nPulses_median,nPulses_zero_count,nPulses_zero_fraction,nPulses_value_counts_json,triggered_feature_details_json,top_five_abs_z_features_json,selected_raw_source_metric_summaries_json,raw_nan_count_active_source_metrics
largest_n_anomalous_channels,117,271,Digitizer_run2014_subrun271.csv,/eos/experiment/milliqan/run3_MilliMon/slab/2000/Digitizer_run2014_subrun271.csv,8598,999,96,8.606606606606606,96,7,0.1677361853832442,9,statistical,nPulses_median,9.32,-0.5455,35,35,0.035035035035035036,-2.8938201317350583,0.0,0.0,1.0,4.0,1.7714285714285714,0.9102589898327994,2.0,0,0.0,"{""1"": 16, ""2"": 14, ""3"": 2, ""4"": 3}","[{""feature"": ""nPulses_median"", ""observed"": 2.0, ""reference_mean"": 1.0126321974148078, ""reference_std"": 0.10594382409297862, ""z"": 9.319729687297833}]","[{""feature"": ""nPulses_median"", ""observed"": 2.0, ""reference_mean"": 1.0126321974148078, ""reference_std"": 0.10594382409297862, ""z"": 9.319729687297833}, {""feature"": ""occupancy"", ""observed"": 0.035035035035035036, ""reference_mean"": 0.07681802685388568, ""reference_std"": 0.014438696918525708, ""z"": -2.8938201317350583}, {""feature"": ""nPulses_mean"", ""observed"": 1.7714285714285714, ""reference_mean"": 1.5338659885877772, ""reference_std"": 0.10282037974126373, ""z"": 2.3104620255108417}, {""feature"": ""sideband_mean_std"", ""observed"": 198.08336096000278, ""reference_mean"": 68.06790046439775, ""reference_std"": 57.512925632426295, ""z"": 2.260630268168816}, {""feature"": ""sideband_mean_mean"", ""observed"": -32.13126656228572, ""reference_mean"": -9.493486377290777, ""reference_std"": 10.648101178232464, ""z"": -2.1259922127029136}]","{""nPulses"": {""n"": 35, ""n_nan"": 0, ""n_inf"": 0, ""min"": 1.0, ""max"": 4.0, ""mean"": 1.7714285714285714, ""std"": 0.9102589898327994, ""median"": 2.0, ""q25"": 1.0, ""q75"": 2.0}, ""sideband_mean"": {""n"": 35, ""n_nan"": 0, ""n_inf"": 0, ""min"": -1169.9, ""max"": 19.8702, ""mean"": -32.13126656228572, ""std"": 198.08336096000284, ""median"": 0.241568, ""q25"": -0.7793645, ""q75"": 1.452245}}",0
largest_n_anomalous_channels,117,271,Digitizer_run2014_subrun271.csv,/eos/experiment/milliqan/run3_MilliMon/slab/2000/Digitizer_run2014_subrun271.csv,8598,999,96,8.606606606606606,96,7,0.1677361853832442,12,statistical+IF,pulseArea_min_mean;pulseDuriation_max_std;pulseDuriation_min_std,9.49,-0.6392,35,35,0.035035035035035036,-3.477531947713834,0.0,0.0,1.0,7.0,1.5142857142857142,1.121223821162776,1.0,0,0.0,"{""1"": 24, ""2"": 8, ""3"": 2, ""7"": 1}","[{""feature"": ""pulseArea_min_mean"", ""observed"": 52971.97142857143, ""reference_mean"": 12652.67051911601, ""reference_std"": 4250.466657973116, ""z"": 9.48585276720701}, {""feature"": ""pulseDuriation_max_std"", ""observed"": 490.77061680517073, ""reference_mean"": 163.82146813078447, ""reference_std"": 40.81601149236973, ""z"": 8.010315969641157}, {""feature"": ""pulseDuriation_min_std"", ""observed"": 503.2898282903243, ""reference_mean"": 142.74849666924007, ""reference_std"": 42.9224061762908, ""z"": 8.39983970470504}]","[{""feature"": ""pulseArea_min_mean"", ""observed"": 52971.97142857143, ""reference_mean"": 12652.67051911601, ""reference_std"": 4250.466657973116, ""z"": 9.48585276720701}, {""feature"": ""pulseDuriation_min_std"", ""observed"": 503.2898282903243, ""reference_mean"": 142.74849666924007, ""reference_std"": 42.9224061762908, ""z"": 8.39983970470504}, {""feature"": ""pulseDuriation_max_std"", ""observed"": 490.77061680517073, ""reference_mean"": 163.82146813078447, ""reference_std"": 40.81601149236973, ""z"": 8.010315969641157}, {""feature"": ""pulseDuriation_min_mean"", ""observed"": 329.70428571428573, ""reference_mean"": 213.0262799295949, ""reference_std"": 16.808296992059844, ""z"": 6.94169110884993}, {""feature"": ""pulseArea_max_std"", ""observed"": 147161.05639676473, ""reference_mean"": 49329.63547993978, ""reference_std"": 15197.222357868752, ""z"": 6.437454069767573}]","{""pulseArea_min"": {""n"": 35, ""n_nan"": 0, ""n_inf"": 0, ""min"": 230.0, ""max"": 614893.0, ""mean"": 52971.97142857143, ""std"": 148218.61725058572, ""median"": 920.0, ""q25"": 497.5, ""q75"": 6139.0}, ""pulseDuriation_max"": {""n"": 35, ""n_nan"": 0, ""n_inf"": 0, ""min"": 59.99, ""max"": 2507.49, ""mean"": 387.7757142857143, ""std"": 490.77061680517073, ""median"": 232.49, ""q25"": 124.99, ""q75"": 383.74}, ""pulseDuriation_min"": {""n"": 35, ""n_nan"": 0, ""n_inf"": 0, ""min"": 59.99, ""max"": 2507.49, ""mean"": 329.70428571428573, ""std"": 503.2898282903244, ""median"": 127.49, ""q25"": 92.49, ""q75"": 254.99}, ""pulseArea_max"": {""n"": 35, ""n_nan"": 0, ""n_inf"": 0, ""min"": 258.0, ""max"": 614893.0, ""mean"": 59893.8, ""std"": 147161.0563967647, ""median"": 3824.0, ""q25"": 898.5, ""q75"": 22810.5}}",0
largest_n_anomalous_channels,117,271,Digitizer_run2014_subrun271.csv,/eos/experiment/milliqan/run3_MilliMon/slab/2000/Digitizer_run2014_subrun271.csv,8598,999,96,8.606606606606606,96,7,0.1677361853832442,13,statistical,pulseArea_min_mean,8.64,-0.6306,29,29,0.02902902902902903,-3.9191030270281124,0.0,0.0,1.0,4.0,1.4482758620689655,0.7831350411077501,1.0,0,0.0,"{""1"": 20, ""2"": 6, ""3"": 2, ""4"": 1}","[{""feature"": ""pulseArea_min_mean"", ""observed"": 73972.44827586207, ""reference_mean"": 19596.163252308135, ""reference_std"": 6296.9404608485065, ""z"": 8.635350034138133}]","[{""feature"": ""pulseArea_min_mean"", ""observed"": 73972.44827586207, ""reference_mean"": 19596.163252308135, ""reference_std"": 6296.9404608485065, ""z"": 8.635350034138133}, {""feature"": ""pulseArea_max_mean"", ""observed"": 89962.03448275862, ""reference_mean"": 39220.986370656996, ""reference_std"": 7889.738075129714, ""z"": 6.431271561732726}, {""feature"": ""pulseDuriation_min_mean"", ""observed"": 399.12793103448274, ""reference_mean"": 250.5607185875955, ""reference_std"": 23.84794615239137, ""z"": 6.22976970417176}, {""feature"": ""pulseArea_max_std"", ""observed"": 179924.70681261623, ""reference_mean"": 66529.69232134939, ""reference_std"": 20050.01902618835, ""z"": 5.655606328510504}, {""feature"": ""pulseArea_min_std"", ""observed"": 178895.4146403076, ""reference_mean"": 52468.203907075746, ""reference_std"": 24388.94202378266, ""z"": 5.18379233547513}]","{""pulseArea_min"": {""n"": 29, ""n_nan"": 0, ""n_inf"": 0, ""min"": 351.0, ""max"": 614001.0, ""mean"": 73972.44827586207, ""std"": 178895.4146403076, ""median"": 2696.0, ""q25"": 887.0, ""q75"": 27013.0}, ""pulseArea_max"": {""n"": 29, ""n_nan"": 0, ""n_inf"": 0, ""min"": 565.0, ""max"": 614001.0, ""mean"": 89962.03448275862, ""std"": 179924.70681261623, ""median"": 19031.0, ""q25"": 1889.0, ""q75"": 74355.0}, ""pulseDuriation_min"": {""n"": 29, ""n_nan"": 0, ""n_inf"": 0, ""min"": 69.99, ""max"": 2507.49, ""mean"": 399.1279310344827, ""std"": 530.1794995321283, ""median"": 219.99, ""q25"": 127.49, ""q75"": 369.99}}",0
largest_n_anomalous_channels,117,271,Digitizer_run2014_subrun271.csv,/eos/experiment/milliqan/run3_MilliMon/slab/2000/Digitizer_run2014_subrun271.csv,8598,999,96,8.606606606606606,96,7,0.1677361853832442,14,isolation_forest,,6.33,-0.6662,40,40,0.04004004004004004,-3.5907606394045284,0.0,0.0,1.0,9.0,1.65,1.4420427107014477,1.0,0,0.0,"{""1"": 27, ""2"": 8, ""3"": 2, ""4"": 2, ""9"": 1}",[],"[{""feature"": ""nPulses_std"", ""observed"": 1.4420427107014477, ""reference_mean"": 0.787278776564759, ""reference_std"": 0.10336114917370279, ""z"": 6.334719953977391}, {""feature"": ""sideband_mean_mean"", ""observed"": -67.685311085, ""reference_mean"": -8.186210793305687, ""reference_std"": 9.403503095719127, ""z"": -6.327333514547447}, {""feature"": ""pulseArea_min_mean"", ""observed"": 50111.5, ""reference_mean"": 19475.90407176601, ""reference_std"": 5677.4037687167165, ""z"": 5.396057278335633}, {""feature"": ""pulseArea_max_std"", ""observed"": 140134.1563075934, ""reference_mean"": 66171.58415033901, ""reference_std"": 18090.21336419343, ""z"": 4.088540619628677}, {""feature"": ""pulseArea_min_std"", ""observed"": 141203.3992239927, ""reference_mean"": 51537.908730308336, ""reference_std"": 22049.1802122775, ""z"": 4.066613344824336}]","{""nPulses"": {""n"": 40, ""n_nan"": 0, ""n_inf"": 0, ""min"": 1.0, ""max"": 9.0, ""mean"": 1.65, ""std"": 1.4420427107014477, ""median"": 1.0, ""q25"": 1.0, ""q75"": 2.0}, ""sideband_mean"": {""n"": 40, ""n_nan"": 0, ""n_inf"": 0, ""min"": -1249.31, ""max"": 63.5725, ""mean"": -67.685311085, ""std"": 261.5822194270311, ""median"": 0.23470400000000002, ""q25"": -2.1814225, ""q75"": 1.780185}, ""pulseArea_min"": {""n"": 40, ""n_nan"": 0, ""n_inf"": 0, ""min"": 9.0, ""max"": 586953.0, ""mean"": 50111.5, ""std"": 141203.3992239927, ""median"": 2638.5, ""q25"": 1344.75, ""q75"": 11914.0}, ""pulseArea_max"": {""n"": 40, ""n_nan"": 0, ""n_inf"": 0, ""min"": 561.0, ""max"": 586953.0, ""mean"": 66205.6, ""std"": 140134.15630759342, ""median"": 10654.0, ""q25"": 3273.0, ""q75"": 57328.75}}",0
largest_n_anomalous_channels,117,271,Digitizer_run2014_subrun271.csv,/eos/experiment/milliqan/run3_MilliMon/slab/2000/Digitizer_run2014_subrun271.csv,8598,999,96,8.606606606606606,96,7,0.1677361853832442,15,isolation_forest,,6.27,-0.6726,42,42,0.042042042042042045,-3.584140250878338,0.0,0.0,1.0,4.0,1.4523809523809523,0.8323455237146717,1.0,0,0.0,"{""1"": 30, ""2"": 7, ""3"": 3, ""4"": 2}",[],"[{""feature"": ""sideband_mean_mean"", ""observed"": -52.172385961904766, ""reference_mean"": -6.506407896571626, ""reference_std"": 7.288207029582384, ""z"": -6.2657355752900195}, {""feature"": ""pulseArea_min_mean"", ""observed"": 40850.5, ""reference_mean"": 17930.877611098404, ""reference_std"": 4290.115904525132, ""z"": 5.342424983140064}, {""feature"": ""pulseDuriation_min_mean"", ""observed"": 413.20428571428573, ""reference_mean"": 276.915785251706, ""reference_std"": 28.030008974693164, ""z"": 4.862235348751673}, {""feature"": ""pulseArea_max_std"", ""observed"": 107249.64994855819, ""reference_mean"": 49520.023709599685, ""reference_std"": 12406.604462682662, ""z"": 4.653136675115353}, {""feature"": ""pulseArea_min_std"", ""observed"": 107440.74093129595, ""reference_mean"": 40323.06466372377, ""reference_std"": 14803.02884617387, ""z"": 4.534050224790318}]","{""sideband_mean"": {""n"": 42, ""n_nan"": 0, ""n_inf"": 0, ""min"": -919.422, ""max"": 28.1024, ""mean"": -52.17238596190476, ""std"": 195.05971991867375, ""median"": -0.05882105, ""q25"": -1.0382087500000001, ""q75"": 0.7535615}, ""pulseArea_min"": {""n"": 42, ""n_nan"": 0, ""n_inf"": 0, ""min"": 72.0, ""max"": 470745.0, ""mean"": 40850.5, ""std"": 107440.74093129595, ""median"": 4332.0, ""q25"": 1640.5, ""q75"": 19463.5}, ""pulseDuriation_min"": {""n"": 42, ""n_nan"": 0, ""n_inf"": 0, ""min"": 57.49, ""max"": 2507.49, ""mean"": 413.20428571428573, ""std"": 555.1266845401162, ""median"": 229.99, ""q25"": 168.115, ""q75"": 341.865}, ""pulseArea_max"": {""n"": 42, ""n_nan"": 0, ""n_inf"": 0, ""min"": 409.0, ""max"": 470745.0, ""mean"": 54657.23809523809, ""std"": 107249.64994855819, ""median"": 11309.5, ""q25"": 3170.0, ""q75"": 46752.75}}",0
largest_n_anomalous_channels,117,271,Digitizer_run2014_subrun271.csv,/eos/experiment/milliqan/run3_MilliMon/slab/2000/Digitizer_run2014_subrun271.csv,8598,999,96,8.606606606606606,96,7,0.1677361853832442,22,isolation_forest,,4.2,-0.6607,33,33,0.03303303303303303,-3.473055286558506,0.0,0.0,1.0,5.0,1.7575757575757576,1.0615526079257398,1.0,0,0.0,"{""1"": 18, ""2"": 9, ""3"": 3, ""4"": 2, ""5"": 1}",[],"[{""feature"": ""nPulses_mean"", ""observed"": 1.7575757575757576, ""reference_mean"": 1.4219114543899625, ""reference_std"": 0.07997592728456207, ""z"": 4.19706672473417}, {""feature"": ""sideband_rms_mean"", ""observed"": 9.12701096969697, ""reference_mean"": 2.4141685500824677, ""reference_std"": 1.6178278389799474, ""z"": 4.149293427814297}, {""feature"": ""pulseArea_max_std"", ""observed"": 104561.6834679035, ""reference_mean"": 46137.14333340232, ""reference_std"": 14845.815187001004, ""z"": 3.9354214907415597}, {""feature"": ""sideband_rms_median"", ""observed"": 1.18026, ""reference_mean"": 1.0523749358936643, ""reference_std"": 0.032610066467091865, ""z"": 3.921643773262155}, {""feature"": ""pulseArea_min_std"", ""observed"": 97047.17861436044, ""reference_mean"": 32824.44940720131, ""reference_std"": 17574.825451222987, ""z"": 3.6542456359183944}]","{""nPulses"": {""n"": 33, ""n_nan"": 0, ""n_inf"": 0, ""min"": 1.0, ""max"": 5.0, ""mean"": 1.7575757575757576, ""std"": 1.0615526079257398, ""median"": 1.0, ""q25"": 1.0, ""q75"": 2.0}, ""sideband_rms"": {""n"": 33, ""n_nan"": 0, ""n_inf"": 0, ""min"": 0.774671, ""max"": 163.037, ""mean"": 9.127010969696968, ""std"": 32.330977888240994, ""median"": 1.18026, ""q25"": 1.05401, ""q75"": 1.54855}, ""pulseArea_max"": {""n"": 33, ""n_nan"": 0, ""n_inf"": 0, ""min"": 376.0, ""max"": 559613.0, ""mean"": 46186.72727272727, ""std"": 104561.68346790351, ""median"": 8627.0, ""q25"": 895.0, ""q75"": 30812.0}, ""pulseArea_min"": {""n"": 33, ""n_nan"": 0, ""n_inf"": 0, ""min"": 68.0, ""max"": 559613.0, ""mean"": 19953.848484848484, ""std"": 97047.17861436041, ""median"": 895.0, ""q25"": 381.0, ""q75"": 3418.0}}",0
largest_n_anomalous_channels,117,271,Digitizer_run2014_subrun271.csv,/eos/experiment/milliqan/run3_MilliMon/slab/2000/Digitizer_run2014_subrun271.csv,8598,999,96,8.606606606606606,96,7,0.1677361853832442,82,isolation_forest,,6.08,-0.6446,232,232,0.23223223223223224,4.763516375557673,0.0,0.0,1.0,9.0,2.3879310344827585,1.8715067972606632,2.0,0,0.0,"{""1"": 113, ""2"": 43, ""3"": 24, ""4"": 16, ""5"": 13, ""6"": 13, ""7"": 5, ""8"": 4, ""9"": 1}",[],"[{""feature"": ""pulseDuriation_max_median"", ""observed"": 724.99, ""reference_mean"": 351.69766632398216, ""reference_std"": 61.38741368863752, ""z"": 6.080926223238368}, {""feature"": ""pulseDuriation_min_mean"", ""observed"": 793.2227586206897, ""reference_mean"": 332.3849536799846, ""reference_std"": 76.86105496647134, ""z"": 5.995725730563205}, {""feature"": ""pulseDuriation_max_mean"", ""observed"": 1147.4037931034482, ""reference_mean"": 610.5813678276857, ""reference_std"": 102.60528013519738, ""z"": 5.231918129051652}, {""feature"": ""pulseHeight_max_std"", ""observed"": 212.6017280260325, ""reference_mean"": 429.27360514841155, ""reference_std"": 41.45390521367748, ""z"": -5.22681460300366}, {""feature"": ""occupancy"", ""observed"": 0.23223223223223224, ""reference_mean"": 0.1348487729045214, ""reference_std"": 0.02044360754744125, ""z"": 4.763516375557673}]","{""pulseDuriation_max"": {""n"": 232, ""n_nan"": 0, ""n_inf"": 0, ""min"": 19.99, ""max"": 2507.49, ""mean"": 1147.4037931034482, ""std"": 974.9699146781613, ""median"": 724.99, ""q25"": 276.865, ""q75"": 2481.24}, ""pulseDuriation_min"": {""n"": 232, ""n_nan"": 0, ""n_inf"": 0, ""min"": 19.99, ""max"": 2507.49, ""mean"": 793.2227586206897, ""std"": 1030.1623520411333, ""median"": 194.99, ""q25"": 82.49, ""q75"": 2481.24}, ""pulseHeight_max"": {""n"": 232, ""n_nan"": 0, ""n_inf"": 0, ""min"": -1250.46, ""max"": -16.0161, ""mean"": -94.98232456896551, ""std"": 212.60172802603253, ""median"": -26.43595, ""q25"": -32.11475, ""q75"": -22.795875000000002}}",0
most_typical_by_mean_channel_Jaccard,339,863,Digitizer_run2014_subrun863.csv,/eos/experiment/milliqan/run3_MilliMon/slab/2000/Digitizer_run2014_subrun863.csv,8249,999,96,8.257257257257256,47,5,0.2804388422035481,3,isolation_forest,,4.57,-0.6794,67,67,0.06706706706706707,-0.7927521879009414,0.0,0.0,1.0,11.0,2.4776119402985075,2.1697521779674895,2.0,0,0.0,"{""1"": 33, ""2"": 14, ""3"": 4, ""4"": 4, ""5"": 5, ""6"": 3, ""7"": 2, ""9"": 1, ""11"": 1}",[],"[{""feature"": ""sideband_rms_median"", ""observed"": 5.0242, ""reference_mean"": 1.258135191804964, ""reference_std"": 0.8249668348763384, ""z"": 4.565110558365132}, {""feature"": ""pulseHeight_max_std"", ""observed"": 198.02487274932554, ""reference_mean"": 313.4965450594491, ""reference_std"": 25.909148102475793, ""z"": -4.456791549201475}, {""feature"": ""sideband_mean_median"", ""observed"": -6.79682, ""reference_mean"": -0.6602453511565479, ""reference_std"": 1.462721361736071, ""z"": -4.195313481687373}, {""feature"": ""pulseDuriation_max_mean"", ""observed"": 753.945223880597, ""reference_mean"": 417.48858875507784, ""reference_std"": 87.99972001101959, ""z"": 3.823383018529912}, {""feature"": ""pulseDuriation_min_std"", ""observed"": 812.3179091785058, ""reference_mean"": 295.5093833387532, ""reference_std"": 137.71196695866732, ""z"": 3.7528221929679275}]","{""sideband_rms"": {""n"": 67, ""n_nan"": 0, ""n_inf"": 0, ""min"": 4.31122, ""max"": 39.2733, ""mean"": 5.821269552238805, ""std"": 4.672841307369844, ""median"": 5.0242, ""q25"": 4.81229, ""q75"": 5.298715}, ""pulseHeight_max"": {""n"": 67, ""n_nan"": 0, ""n_inf"": 0, ""min"": -812.848, ""max"": -15.5195, ""mean"": -132.61843582089548, ""std"": 198.02487274932557, ""median"": -23.2688, ""q25"": -169.058, ""q75"": -19.293100000000003}, ""sideband_mean"": {""n"": 67, ""n_nan"": 0, ""n_inf"": 0, ""min"": -678.882, ""max"": 29.0713, ""mean"": -16.30933581940299, ""std"": 85.19322822781906, ""median"": -6.79682, ""q25"": -9.634975, ""q75"": -0.162075}, ""pulseDuriation_max"": {""n"": 67, ""n_nan"": 0, ""n_inf"": 0, ""min"": 57.49, ""max"": 2507.49, ""mean"": 753.9452238805968, ""std"": 812.1311691121758, ""median"": 344.99, ""q25"": 208.74, ""q75"": 992.49}, ""pulseDuriation_min"": {""n"": 67, ""n_nan"": 0, ""n_inf"": 0, ""min"": 14.99, ""max"": 2507.49, ""mean"": 513.4228358208953, ""std"": 812.3179091785058, ""median"": 167.49, ""q25"": 86.24, ""q75"": 354.99}}",0
most_typical_by_mean_channel_Jaccard,339,863,Digitizer_run2014_subrun863.csv,/eos/experiment/milliqan/run3_MilliMon/slab/2000/Digitizer_run2014_subrun863.csv,8249,999,96,8.257257257257256,47,5,0.2804388422035481,8,statistical,sideband_mean_mean,8.79,-0.5973,34,34,0.03403403403403404,-3.372106519501803,0.0,0.0,1.0,6.0,1.7941176470588236,1.122211338728162,1.0,0,0.0,"{""1"": 19, ""2"": 6, ""3"": 8, ""6"": 1}","[{""feature"": ""sideband_mean_mean"", ""observed"": -119.72782076470588, ""reference_mean"": -12.336550870317634, ""reference_std"": 12.219505459918475, ""z"": -8.788511961195583}]","[{""feature"": ""sideband_mean_mean"", ""observed"": -119.72782076470588, ""reference_mean"": -12.336550870317634, ""reference_std"": 12.219505459918475, ""z"": -8.788511961195583}, {""feature"": ""sideband_rms_median"", ""observed"": 1.869745, ""reference_mean"": 0.8502149606345492, ""reference_std"": 0.13289936350739295, ""z"": 7.6714441097284585}, {""feature"": ""sideband_rms_mean"", ""observed"": 17.184416470588236, ""reference_mean"": 4.529909517941791, ""reference_std"": 2.6375346630296317, ""z"": 4.797854272789239}, {""feature"": ""sideband_mean_std"", ""observed"": 324.4479771634604, ""reference_mean"": 95.95698513506287, ""reference_std"": 56.61558985211192, ""z"": 4.035831696273923}, {""feature"": ""occupancy"", ""observed"": 0.03403403403403404, ""reference_mean"": 0.08952909377169982, ""reference_std"": 0.016457089779555557, ""z"": -3.372106519501803}]","{""sideband_mean"": {""n"": 34, ""n_nan"": 0, ""n_inf"": 0, ""min"": -1085.98, ""max"": 53.79, ""mean"": -119.72782076470588, ""std"": 324.4479771634604, ""median"": -0.334524, ""q25"": -3.4123675, ""q75"": 1.31294125}, ""sideband_rms"": {""n"": 34, ""n_nan"": 0, ""n_inf"": 0, ""min"": 1.34147, ""max"": 288.401, ""mean"": 17.184416470588236, ""std"": 51.40205722071853, ""median"": 1.869745, ""q25"": 1.6431375, ""q75"": 4.3470249999999995}}",0
most_typical_by_mean_channel_Jaccard,339,863,Digitizer_run2014_subrun863.csv,/eos/experiment/milliqan/run3_MilliMon/slab/2000/Digitizer_run2014_subrun863.csv,8249,999,96,8.257257257257256,47,5,0.2804388422035481,9,statistical,sideband_mean_mean,8.73,-0.5763,28,28,0.028028028028028028,-3.379113717890787,0.0,0.0,1.0,4.0,1.5714285714285714,0.8357108940373451,1.0,0,0.0,"{""1"": 17, ""2"": 7, ""3"": 3, ""4"": 1}","[{""feature"": ""sideband_mean_mean"", ""observed"": -102.44179346428571, ""reference_mean"": -9.493486377290777, ""reference_std"": 10.648101178232464, ""z"": -8.729096909504003}]","[{""feature"": ""sideband_mean_mean"", ""observed"": -102.44179346428571, ""reference_mean"": -9.493486377290777, ""reference_std"": 10.648101178232464, ""z"": -8.729096909504003}, {""feature"": ""sideband_rms_mean"", ""observed"": 21.399529714285713, ""reference_mean"": 3.4957102534594777, ""reference_std"": 2.5906701270594468, ""z"": 6.9108835099542585}, {""feature"": ""sideband_mean_std"", ""observed"": 298.40524186455576, ""reference_mean"": 68.06790046439775, ""reference_std"": 57.512925632426295, ""z"": 4.004966516088547}, {""feature"": ""occupancy"", ""observed"": 0.028028028028028028, ""reference_mean"": 0.07681802685388568, ""reference_std"": 0.014438696918525708, ""z"": -3.379113717890787}, {""feature"": ""sideband_rms_std"", ""observed"": 64.74671847111674, ""reference_mean"": 15.84930899383431, ""reference_std"": 14.999356357696156, ""z"": 3.2599671820046603}]","{""sideband_mean"": {""n"": 28, ""n_nan"": 0, ""n_inf"": 0, ""min"": -1202.1, ""max"": 21.4565, ""mean"": -102.44179346428574, ""std"": 298.40524186455576, ""median"": -0.3351725, ""q25"": -1.7903449999999999, ""q75"": 1.240005}, ""sideband_rms"": {""n"": 28, ""n_nan"": 0, ""n_inf"": 0, ""min"": 0.637893, ""max"": 311.835, ""mean"": 21.399529714285716, ""std"": 64.74671847111674, ""median"": 0.8669125, ""q25"": 0.7738125, ""q75"": 1.459685}}",0
