sequence_index,subrun,filename,strict_status,n_anomalous_channels,n_persistent_channels,max_z_over_file,anomalous_channels,bulk_alert,persistent_alert,extreme_alert,previous_status,next_status,previous_alert_type,next_alert_type
92,223,Digitizer_run2014_subrun223.csv,ALERT,5,0,13.17,6;7;32;77;82,True,False,False,OK,OK,,
110,253,Digitizer_run2014_subrun253.csv,ALERT,5,0,13.13,3;8;9;76;82,True,False,False,OK,OK,,
117,271,Digitizer_run2014_subrun271.csv,ALERT,7,0,9.49,9;12;13;14;15;22;82,True,False,False,OK,ALERT,,extreme
124,286,Digitizer_run2014_subrun286.csv,ALERT,5,0,11.84,2;3;70;79;82,True,False,False,ALERT,OK,extreme,
154,390,Digitizer_run2014_subrun390.csv,ALERT,5,1,12.08,1;3;16;17;82,True,False,False,OK,WARN,,
184,487,Digitizer_run2014_subrun487.csv,ALERT,6,1,12.97,3;18;22;23;27;82,True,False,False,ALERT,OK,extreme,
196,520,Digitizer_run2014_subrun520.csv,ALERT,5,0,11.22,1;14;15;75;82,True,False,False,ALERT,OK,extreme,
206,547,Digitizer_run2014_subrun547.csv,ALERT,5,1,11.69,1;3;7;16;82,True,False,False,OK,OK,,
266,682,Digitizer_run2014_subrun682.csv,ALERT,5,0,10.14,0;1;3;9;82,True,False,False,ALERT,ALERT,bulk;extreme,bulk
267,683,Digitizer_run2014_subrun683.csv,ALERT,5,0,14.56,3;8;9;64;82,True,False,False,ALERT,ALERT,bulk,persistent
272,697,Digitizer_run2014_subrun697.csv,ALERT,5,0,11.63,3;22;23;43;82,True,False,False,OK,ALERT,,bulk
273,699,Digitizer_run2014_subrun699.csv,ALERT,5,0,14.77,3;4;5;16;82,True,False,False,ALERT,OK,bulk,
289,735,Digitizer_run2014_subrun735.csv,ALERT,5,0,11.64,3;12;14;15;82,True,False,False,ALERT,OK,extreme,
314,790,Digitizer_run2014_subrun790.csv,ALERT,5,1,10.97,22;23;26;27;82,True,False,False,WARN,WARN,,
316,793,Digitizer_run2014_subrun793.csv,ALERT,5,1,11.84,3;6;7;70;82,True,False,False,WARN,WARN,,
319,802,Digitizer_run2014_subrun802.csv,ALERT,5,0,14.38,3;26;36;40;66,True,False,False,WARN,ALERT,,extreme
339,863,Digitizer_run2014_subrun863.csv,ALERT,5,1,13.17,3;8;9;32;82,True,False,False,WARN,WARN,,
342,871,Digitizer_run2014_subrun871.csv,ALERT,5,0,9.31,3;4;10;23;82,True,False,False,ALERT,OK,extreme,
