case,filename,subrun,target_channel,channel,nPulses_mean,nPulses_median,nPulses_std,occupancy,frac_dead,z_nPulses_median,abs_z_nPulses_median,above_z8,above_z15,is_target_channel
A,Digitizer_run2014_subrun168.csv,168,4,4,1.6666666666666667,2.0,0.6370220572706061,0.02404809619238477,0.0,1000000.0,1000000.0,True,True,True
A,Digitizer_run2014_subrun168.csv,168,4,33,1.8214285714285714,1.5,1.0463293911599705,0.056112224448897796,0.0,3.6382307229111053,3.6382307229111053,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,71,2.23265306122449,2.0,1.4845361028333373,0.24549098196392785,0.0,3.5832656360895356,3.5832656360895356,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,24,1.9015544041450778,2.0,1.1345188354144633,0.1933867735470942,0.0,2.7848023517976355,2.7848023517976355,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,93,3.141025641025641,3.0,1.8761413593781062,0.3907815631262525,0.0,1.7805164820411776,1.7805164820411776,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,56,2.672811059907834,2.0,2.1123201054824197,0.21743486973947895,0.0,1.696902814131532,1.696902814131532,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,92,2.0919540229885056,1.0,1.6398538215344287,0.0871743486973948,0.0,-0.7689038923866641,0.7689038923866641,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,68,1.5555555555555556,1.0,0.7247430753394787,0.045090180360721446,0.0,-0.6468654214345858,0.6468654214345858,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,72,3.721868365180467,3.0,2.296419394121909,0.47194388777555113,0.0,0.6238951944111863,0.6238951944111863,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,80,2.3632075471698113,1.0,1.8638911279403652,0.2124248496993988,0.0,-0.5216250173665433,0.5216250173665433,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,82,2.4901185770750986,2.0,1.9449010425337228,0.2535070140280561,0.0,0.509606901123599,0.509606901123599,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,16,1.5333333333333334,1.0,0.8193072487266861,0.03006012024048096,0.0,-0.48906527818048423,0.48906527818048423,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,8,1.6153846153846154,1.0,0.906566240369747,0.03907815631262525,0.0,-0.4582106737329065,0.4582106737329065,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,17,1.4444444444444444,1.0,0.6405126152203485,0.027054108216432865,0.0,-0.45235636011199404,0.45235636011199404,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,3,1.8533333333333333,1.0,1.4859097980456042,0.07515030060120241,0.0,-0.3070759290298166,0.3070759290298166,False,False,False
