case,target_subrun,target_channel,comparison_filename,comparison_subrun,comparison_sequence_index,comparison_status,comparison_role,processed_sequence_offset,file_unique_events,target_channel_rows,target_channel_unique_events,occupancy,n_values,n_nan,n_inf,min,max,mean,std,median,q25,q75,n_equal_zero,fraction_equal_zero,value_counts_json
A,168,4,Digitizer_run2014_subrun168.csv,168,73,ALERT,target,0,998,24,24,0.02404809619238477,24,0,0,1.0,3.0,1.6666666666666667,0.6370220572706061,2.0,1.0,2.0,0,0.0,"{""1"": 10, ""2"": 12, ""3"": 2}"
A,168,4,Digitizer_run2014_subrun166.csv,166,71,OK,previous_2,-2,998,29,29,0.02905811623246493,29,0,0,1.0,3.0,1.2758620689655173,0.5275652785700641,1.0,1.0,1.0,0,0.0,"{""1"": 22, ""2"": 6, ""3"": 1}"
A,168,4,Digitizer_run2014_subrun167.csv,167,72,OK,previous_1,-1,998,32,32,0.03206412825651302,32,0,0,1.0,3.0,1.28125,0.5811209967839966,1.0,1.0,1.0,0,0.0,"{""1"": 25, ""2"": 5, ""3"": 2}"
A,168,4,Digitizer_run2014_subrun169.csv,169,74,OK,next_1,1,1000,50,50,0.05,50,0,0,1.0,9.0,1.36,1.2081356863923414,1.0,1.0,1.0,0,0.0,"{""1"": 41, ""2"": 6, ""3"": 2, ""9"": 1}"
A,168,4,Digitizer_run2014_subrun170.csv,170,75,OK,next_2,2,999,39,39,0.03903903903903904,39,0,0,1.0,4.0,1.4615384615384615,0.8222611266038828,1.0,1.0,2.0,0,0.0,"{""1"": 27, ""2"": 8, ""3"": 2, ""4"": 2}"
A,168,4,Digitizer_run2014_subrun164.csv,164,70,OK,nearby_OK_1,-3,998,35,35,0.03507014028056112,35,0,0,1.0,2.0,1.0857142857142856,0.2840286409986905,1.0,1.0,1.0,0,0.0,"{""1"": 32, ""2"": 3}"
A,168,4,Digitizer_run2014_subrun171.csv,171,76,OK,nearby_OK_2,3,998,39,39,0.03907815631262525,39,0,0,1.0,3.0,1.1282051282051282,0.4090738692453055,1.0,1.0,1.0,0,0.0,"{""1"": 35, ""2"": 3, ""3"": 1}"
A,168,4,Digitizer_run2014_subrun160.csv,160,68,OK,nearby_OK_3,-5,999,33,33,0.03303303303303303,33,0,0,1.0,3.0,1.2424242424242424,0.5018903659106632,1.0,1.0,1.0,0,0.0,"{""1"": 26, ""2"": 6, ""3"": 1}"
B,902,38,Digitizer_run2014_subrun902.csv,902,360,ALERT,target,0,608,48,48,0.07894736842105263,48,0,0,1.0,5.0,1.7916666666666667,0.9884079899565407,2.0,1.0,2.0,0,0.0,"{""1"": 22, ""2"": 19, ""3"": 4, ""4"": 1, ""5"": 2}"
B,902,38,Digitizer_run2014_subrun897.csv,897,358,OK,previous_2,-2,998,60,60,0.06012024048096192,60,0,0,1.0,5.0,1.4666666666666666,0.8329377592200171,1.0,1.0,2.0,0,0.0,"{""1"": 41, ""2"": 13, ""3"": 4, ""4"": 1, ""5"": 1}"
B,902,38,Digitizer_run2014_subrun901.csv,901,359,OK,previous_1,-1,995,69,69,0.06934673366834171,69,0,0,1.0,4.0,1.434782608695652,0.7760810462067282,1.0,1.0,2.0,0,0.0,"{""1"": 48, ""2"": 15, ""3"": 3, ""4"": 3}"
B,902,38,Digitizer_run2014_subrun895.csv,895,357,OK,nearby_OK_1,-3,997,67,67,0.06720160481444333,67,0,0,1.0,5.0,1.6567164179104477,0.8799490137772644,1.0,1.0,2.0,0,0.0,"{""1"": 37, ""2"": 19, ""3"": 9, ""4"": 1, ""5"": 1}"
B,902,38,Digitizer_run2014_subrun893.csv,893,356,OK,nearby_OK_2,-4,999,75,75,0.07507507507507508,75,0,0,1.0,4.0,1.3466666666666667,0.667656922203137,1.0,1.0,1.5,0,0.0,"{""1"": 56, ""2"": 13, ""3"": 5, ""4"": 1}"
B,902,38,Digitizer_run2014_subrun877.csv,877,348,OK,nearby_OK_3,-12,999,74,74,0.07407407407407407,74,0,0,1.0,5.0,1.4864864864864864,0.8950892393444498,1.0,1.0,2.0,0,0.0,"{""1"": 52, ""2"": 13, ""3"": 5, ""4"": 3, ""5"": 1}"
C,3,66,Digitizer_run2014_subrun3.csv,3,1,ALERT,target,0,988,78,78,0.07894736842105263,78,0,0,1.0,4.0,1.6923076923076923,0.7945870823066727,2.0,1.0,2.0,0,0.0,"{""1"": 38, ""2"": 28, ""3"": 10, ""4"": 2}"
