case,target_channel,comparison_filename,comparison_subrun,comparison_role,nPulses_value,count,fraction
A,4,Digitizer_run2014_subrun168.csv,168,target,1,10,0.4166666666666667
A,4,Digitizer_run2014_subrun168.csv,168,target,2,12,0.5
A,4,Digitizer_run2014_subrun168.csv,168,target,3,2,0.08333333333333333
A,4,Digitizer_run2014_subrun166.csv,166,previous_2,1,22,0.7586206896551724
A,4,Digitizer_run2014_subrun166.csv,166,previous_2,2,6,0.20689655172413793
A,4,Digitizer_run2014_subrun166.csv,166,previous_2,3,1,0.034482758620689655
A,4,Digitizer_run2014_subrun167.csv,167,previous_1,1,25,0.78125
A,4,Digitizer_run2014_subrun167.csv,167,previous_1,2,5,0.15625
A,4,Digitizer_run2014_subrun167.csv,167,previous_1,3,2,0.0625
A,4,Digitizer_run2014_subrun169.csv,169,next_1,1,41,0.82
A,4,Digitizer_run2014_subrun169.csv,169,next_1,2,6,0.12
A,4,Digitizer_run2014_subrun169.csv,169,next_1,3,2,0.04
A,4,Digitizer_run2014_subrun169.csv,169,next_1,9,1,0.02
A,4,Digitizer_run2014_subrun170.csv,170,next_2,1,27,0.6923076923076923
A,4,Digitizer_run2014_subrun170.csv,170,next_2,2,8,0.20512820512820512
A,4,Digitizer_run2014_subrun170.csv,170,next_2,3,2,0.05128205128205128
A,4,Digitizer_run2014_subrun170.csv,170,next_2,4,2,0.05128205128205128
A,4,Digitizer_run2014_subrun164.csv,164,nearby_OK_1,1,32,0.9142857142857143
A,4,Digitizer_run2014_subrun164.csv,164,nearby_OK_1,2,3,0.08571428571428572
A,4,Digitizer_run2014_subrun171.csv,171,nearby_OK_2,1,35,0.8974358974358975
A,4,Digitizer_run2014_subrun171.csv,171,nearby_OK_2,2,3,0.07692307692307693
A,4,Digitizer_run2014_subrun171.csv,171,nearby_OK_2,3,1,0.02564102564102564
A,4,Digitizer_run2014_subrun160.csv,160,nearby_OK_3,1,26,0.7878787878787878
A,4,Digitizer_run2014_subrun160.csv,160,nearby_OK_3,2,6,0.18181818181818182
A,4,Digitizer_run2014_subrun160.csv,160,nearby_OK_3,3,1,0.030303030303030304
B,38,Digitizer_run2014_subrun902.csv,902,target,1,22,0.4583333333333333
B,38,Digitizer_run2014_subrun902.csv,902,target,2,19,0.3958333333333333
B,38,Digitizer_run2014_subrun902.csv,902,target,3,4,0.08333333333333333
B,38,Digitizer_run2014_subrun902.csv,902,target,4,1,0.020833333333333332
B,38,Digitizer_run2014_subrun902.csv,902,target,5,2,0.041666666666666664
B,38,Digitizer_run2014_subrun897.csv,897,previous_2,1,41,0.6833333333333333
B,38,Digitizer_run2014_subrun897.csv,897,previous_2,2,13,0.21666666666666667
B,38,Digitizer_run2014_subrun897.csv,897,previous_2,3,4,0.06666666666666667
B,38,Digitizer_run2014_subrun897.csv,897,previous_2,4,1,0.016666666666666666
B,38,Digitizer_run2014_subrun897.csv,897,previous_2,5,1,0.016666666666666666
B,38,Digitizer_run2014_subrun901.csv,901,previous_1,1,48,0.6956521739130435
B,38,Digitizer_run2014_subrun901.csv,901,previous_1,2,15,0.21739130434782608
B,38,Digitizer_run2014_subrun901.csv,901,previous_1,3,3,0.043478260869565216
B,38,Digitizer_run2014_subrun901.csv,901,previous_1,4,3,0.043478260869565216
B,38,Digitizer_run2014_subrun895.csv,895,nearby_OK_1,1,37,0.5522388059701493
B,38,Digitizer_run2014_subrun895.csv,895,nearby_OK_1,2,19,0.2835820895522388
B,38,Digitizer_run2014_subrun895.csv,895,nearby_OK_1,3,9,0.13432835820895522
B,38,Digitizer_run2014_subrun895.csv,895,nearby_OK_1,4,1,0.014925373134328358
B,38,Digitizer_run2014_subrun895.csv,895,nearby_OK_1,5,1,0.014925373134328358
B,38,Digitizer_run2014_subrun893.csv,893,nearby_OK_2,1,56,0.7466666666666667
B,38,Digitizer_run2014_subrun893.csv,893,nearby_OK_2,2,13,0.17333333333333334
B,38,Digitizer_run2014_subrun893.csv,893,nearby_OK_2,3,5,0.06666666666666667
B,38,Digitizer_run2014_subrun893.csv,893,nearby_OK_2,4,1,0.013333333333333334
B,38,Digitizer_run2014_subrun877.csv,877,nearby_OK_3,1,52,0.7027027027027027
B,38,Digitizer_run2014_subrun877.csv,877,nearby_OK_3,2,13,0.17567567567567569
B,38,Digitizer_run2014_subrun877.csv,877,nearby_OK_3,3,5,0.06756756756756757
B,38,Digitizer_run2014_subrun877.csv,877,nearby_OK_3,4,3,0.04054054054054054
B,38,Digitizer_run2014_subrun877.csv,877,nearby_OK_3,5,1,0.013513513513513514
C,66,Digitizer_run2014_subrun3.csv,3,target,1,38,0.48717948717948717
C,66,Digitizer_run2014_subrun3.csv,3,target,2,28,0.358974358974359
C,66,Digitizer_run2014_subrun3.csv,3,target,3,10,0.1282051282051282
C,66,Digitizer_run2014_subrun3.csv,3,target,4,2,0.02564102564102564
C,66,Digitizer_run2014_subrun1.csv,1,previous_1,1,56,0.6588235294117647
C,66,Digitizer_run2014_subrun1.csv,1,previous_1,2,21,0.24705882352941178
C,66,Digitizer_run2014_subrun1.csv,1,previous_1,3,6,0.07058823529411765
C,66,Digitizer_run2014_subrun1.csv,1,previous_1,4,2,0.023529411764705882
C,66,Digitizer_run2014_subrun4.csv,4,next_1,1,42,0.6885245901639344
C,66,Digitizer_run2014_subrun4.csv,4,next_1,2,12,0.19672131147540983
C,66,Digitizer_run2014_subrun4.csv,4,next_1,3,5,0.08196721311475409
C,66,Digitizer_run2014_subrun4.csv,4,next_1,4,2,0.03278688524590164
C,66,Digitizer_run2014_subrun7.csv,7,next_2,1,60,0.6818181818181818
C,66,Digitizer_run2014_subrun7.csv,7,next_2,2,17,0.19318181818181818
C,66,Digitizer_run2014_subrun7.csv,7,next_2,3,7,0.07954545454545454
C,66,Digitizer_run2014_subrun7.csv,7,next_2,4,2,0.022727272727272728
C,66,Digitizer_run2014_subrun7.csv,7,next_2,6,1,0.011363636363636364
C,66,Digitizer_run2014_subrun7.csv,7,next_2,7,1,0.011363636363636364
C,66,Digitizer_run2014_subrun8.csv,8,nearby_OK_1,1,50,0.6493506493506493
