channel,source_metric,comparison_filename,comparison_subrun,comparison_status,comparison_role,processed_sequence_offset_from_role_target,file_unique_events,target_channel_rows,target_channel_unique_events,occupancy,n_values,n_nan,n_inf,min,max,mean,std,median,q25,q75
3,pulseDuriation_min,Digitizer_run2014_subrun605.csv,605,WARN,WARN_target,0,994,72,72,0.07243460764587525,72,0,0,54.99,2507.49,707.6636111111109,936.2278529685494,216.24,133.115,608.74
3,pulseDuriation_min,Digitizer_run2014_subrun603.csv,603,WARN,WARN_target_previous_2,-2,998,55,55,0.05511022044088176,55,0,0,22.49,2507.49,571.5809090909092,881.0897035243153,167.49,59.99,432.49
3,pulseDuriation_min,Digitizer_run2014_subrun604.csv,604,WARN,WARN_target_previous_1,-1,998,60,60,0.06012024048096192,60,0,0,17.49,2507.49,671.7816666666663,930.7165423117654,221.24,84.365,527.49
3,pulseDuriation_min,Digitizer_run2014_subrun609.csv,609,WARN,WARN_target_next_1,1,998,67,67,0.06713426853707415,67,0,0,14.99,2507.49,473.0870149253732,768.8249950549587,164.99,81.24,404.99
3,pulseDuriation_min,Digitizer_run2014_subrun611.csv,611,WARN,WARN_target_next_2,2,1000,63,63,0.063,63,0,0,19.99,2507.49,531.2201587301585,871.272113272371,142.49,57.49,358.74
3,pulseDuriation_min,Digitizer_run2014_subrun94.csv,94,OK,OK_target,0,993,69,69,0.06948640483383686,69,0,0,19.99,2507.49,254.19289855072475,336.50547717376816,177.49,122.49,284.99
3,pulseDuriation_min,Digitizer_run2014_subrun88.csv,88,OK,OK_target_previous_2,-2,991,85,85,0.08577194752774975,85,0,0,17.49,1309.99,212.63705882352946,200.6972047568149,164.99,117.49,242.49
3,pulseDuriation_min,Digitizer_run2014_subrun90.csv,90,OK,OK_target_previous_1,-1,994,68,68,0.06841046277665996,68,0,0,19.99,1292.49,268.77676470588244,239.36658197935887,181.24,131.24,331.24
3,pulseDuriation_min,Digitizer_run2014_subrun95.csv,95,OK,OK_target_next_1,1,996,68,68,0.06827309236947791,68,0,0,27.49,2507.49,347.74735294117653,572.4228651200889,164.99,106.865,309.99
3,pulseDuriation_min,Digitizer_run2014_subrun96.csv,96,OK,OK_target_next_2,2,988,81,81,0.08198380566801619,81,0,0,19.99,1294.99,233.169012345679,198.42151012179184,184.99,107.49,307.49
3,pulseDuriation_max,Digitizer_run2014_subrun605.csv,605,WARN,WARN_target,0,994,72,72,0.07243460764587525,72,0,0,54.99,2507.49,865.024722222222,913.626161436883,414.99,212.49,1461.24
3,pulseDuriation_max,Digitizer_run2014_subrun603.csv,603,WARN,WARN_target_previous_2,-2,998,55,55,0.05511022044088176,55,0,0,22.49,2507.49,798.2627272727268,857.1088721316962,417.49,196.24,1033.74
3,pulseDuriation_max,Digitizer_run2014_subrun604.csv,604,WARN,WARN_target_previous_1,-1,998,60,60,0.06012024048096192,60,0,0,17.49,2507.49,843.2399999999997,904.985988748173,422.49,199.365,1346.865
