alert_driver_rank,channel,n_ALERT_subruns_anomalous,n_extreme_ALERT_subruns_triggered,n_persistent_ALERT_subruns_as_persistent,n_bulk_ALERT_subruns_participating,n_bulk_only_ALERT_subruns_participating,maximum_max_z_in_ALERT_subruns,extreme_methods
1,26,9,7,0,4,2,16.07,statistical
2,0,8,6,0,1,1,45.76,statistical
3,15,9,5,0,3,3,19.7,statistical;statistical+IF
4,13,7,5,0,2,1,22.03,statistical;statistical+IF
5,27,5,3,0,3,2,55.0,statistical;statistical+IF
6,34,3,3,0,0,0,29.16,statistical
7,7,10,2,0,5,3,45.76,statistical;statistical+IF
8,14,6,2,0,4,3,17.87,statistical;statistical+IF
9,12,5,2,0,3,2,23.32,statistical;statistical+IF
10,5,4,2,0,4,1,29.16,statistical;statistical+IF
11,10,3,2,0,1,1,16.81,statistical
12,43,3,2,0,2,1,22.86,statistical
13,29,2,2,0,0,0,25.75,statistical
14,38,2,2,0,1,0,67.36,statistical
15,22,9,1,0,5,4,47.63,statistical
16,23,6,1,0,5,4,15.4,statistical+IF
17,16,5,1,0,3,3,19.64,statistical
18,4,4,1,0,3,2,1000000.0,statistical
19,66,3,1,0,1,1,21.11,statistical
20,19,1,1,0,0,0,19.87,statistical
21,46,1,1,0,1,0,28.28,statistical
22,48,1,1,0,1,0,20.29,statistical
23,82,49,0,6,22,17,9.85,
24,3,48,0,6,21,14,10.59,
25,9,8,0,0,6,5,9.32,
26,1,6,0,0,5,4,11.69,
27,8,5,0,0,5,3,9.83,
28,32,5,0,0,4,2,13.17,
29,70,3,0,0,2,2,11.84,
30,6,2,0,0,2,2,7.58,
31,36,5,0,0,3,1,14.38,
32,2,4,0,0,4,1,10.21,
33,18,3,0,0,1,1,10.56,
34,17,2,0,0,1,1,12.08,
35,40,2,0,0,1,1,13.62,
36,64,2,0,0,2,1,14.56,
37,75,1,0,0,1,1,11.22,
38,76,1,0,0,1,1,13.13,
39,77,1,0,0,1,1,8.48,
40,79,1,0,0,1,1,8.49,
41,11,1,0,0,1,0,8.01,
42,21,1,0,0,0,0,9.2,
43,33,1,0,0,1,0,9.02,
44,65,1,0,0,0,0,13.09,
45,94,1,0,0,1,0,10.43,
46,20,0,0,0,0,0,,
47,24,0,0,0,0,0,,
48,25,0,0,0,0,0,,
49,28,0,0,0,0,0,,
50,30,0,0,0,0,0,,
51,31,0,0,0,0,0,,
52,35,0,0,0,0,0,,
53,37,0,0,0,0,0,,
54,39,0,0,0,0,0,,
55,41,0,0,0,0,0,,
56,42,0,0,0,0,0,,
57,44,0,0,0,0,0,,
58,45,0,0,0,0,0,,
59,47,0,0,0,0,0,,
60,49,0,0,0,0,0,,
61,50,0,0,0,0,0,,
62,51,0,0,0,0,0,,
63,52,0,0,0,0,0,,
64,53,0,0,0,0,0,,
65,54,0,0,0,0,0,,
66,55,0,0,0,0,0,,
67,56,0,0,0,0,0,,
68,57,0,0,0,0,0,,
69,58,0,0,0,0,0,,
70,59,0,0,0,0,0,,
71,60,0,0,0,0,0,,
72,61,0,0,0,0,0,,
73,62,0,0,0,0,0,,
74,63,0,0,0,0,0,,
75,67,0,0,0,0,0,,
76,68,0,0,0,0,0,,
77,69,0,0,0,0,0,,
78,71,0,0,0,0,0,,
79,72,0,0,0,0,0,,
80,73,0,0,0,0,0,,
81,74,0,0,0,0,0,,
82,78,0,0,0,0,0,,
83,80,0,0,0,0,0,,
84,81,0,0,0,0,0,,
85,83,0,0,0,0,0,,
86,84,0,0,0,0,0,,
87,85,0,0,0,0,0,,
88,86,0,0,0,0,0,,
89,87,0,0,0,0,0,,
90,88,0,0,0,0,0,,
91,89,0,0,0,0,0,,
92,90,0,0,0,0,0,,
93,91,0,0,0,0,0,,
94,92,0,0,0,0,0,,
95,93,0,0,0,0,0,,
96,95,0,0,0,0,0,,
