channel,<none; IF-only>,nPulses_median,pulseDuriation_min_mean,pulseDuriation_max_median,sideband_mean_median,sideband_rms_mean,sideband_mean_mean,nPulses_std,pulseDuriation_min_std,pulseDuriation_max_std,pulseDuriation_max_mean,pulseHeight_max_std,pulseHeight_min_median,pulseArea_min_mean,nPulses_mean,pulseArea_min_median,pulseHeight_max_median,sideband_rms_median
82,213,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,156,0,29,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
7,10,2,0,0,9,0,0,0,0,0,0,2,0,0,1,0,0,0
15,11,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
22,6,1,0,0,0,1,7,1,0,0,0,0,0,1,0,0,0,1
26,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,2,11,0,0,0,2,2,0,0,0,0,0,2,0,0,1,1,0
0,2,5,0,0,3,2,0,0,6,5,0,0,1,0,0,0,0,0
13,0,9,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0
23,4,0,0,0,1,5,2,8,2,2,0,0,0,0,1,0,0,0
