importance_rank,channel,n_anomalous_subruns,anomalous_fraction_of_361,n_ALERT_subruns_anomalous,n_WARN_subruns_anomalous,n_OK_subruns_anomalous,longest_consecutive_anomalous_streak,maximum_max_z,median_max_z_when_anomalous,median_if_score_when_anomalous
1,82,225,0.6232686980609419,49,75,101,27,9.85,5.53,-0.654
2,3,185,0.5124653739612188,48,49,88,8,11.23,5.7,-0.6573
3,7,23,0.06371191135734072,10,2,11,1,45.76,8.06,-0.6412
4,15,20,0.055401662049861494,9,3,8,2,19.7,6.9,-0.64425
5,22,17,0.04709141274238227,9,3,5,1,47.63,8.48,-0.6222
6,26,10,0.027700831024930747,9,1,0,1,16.07,16.07,-0.54865
7,9,20,0.055401662049861494,8,5,7,2,11.56,9.32,-0.57245
8,0,19,0.05263157894736842,8,3,8,2,45.76,10.05,-0.6033
9,13,14,0.038781163434903045,7,1,6,1,22.03,10.99,-0.59085
10,23,21,0.05817174515235457,6,3,12,2,15.4,8.64,-0.6072
11,1,15,0.04155124653739612,6,3,6,1,12.28,8.46,-0.5776
12,14,13,0.036011080332409975,6,3,4,2,17.87,8.7,-0.6287
13,32,10,0.027700831024930747,5,4,1,2,13.17,13.17,-0.58135
14,16,9,0.024930747922437674,5,2,2,1,19.64,8.83,-0.5534
15,8,10,0.027700831024930747,5,1,4,1,9.83,8.625,-0.6374500000000001
16,12,7,0.019390581717451522,5,1,1,1,23.32,11.18,-0.629
17,36,6,0.01662049861495845,5,1,0,1,14.38,14.38,-0.5643
18,27,7,0.019390581717451522,5,0,2,1,55.0,10.97,-0.5863
19,2,17,0.04709141274238227,4,5,8,1,14.5,8.89,-0.5929
20,4,8,0.0221606648199446,4,1,3,1,1000000.0,8.325,-0.6341
21,5,7,0.019390581717451522,4,1,2,1,29.16,7.47,-0.6481
22,70,9,0.024930747922437674,3,2,4,2,11.84,11.84,-0.5401
23,34,6,0.01662049861495845,3,2,1,1,29.16,21.86,-0.5675
24,18,7,0.019390581717451522,3,0,4,1,10.56,10.56,-0.5709
25,10,5,0.013850415512465374,3,0,2,2,16.81,9.28,-0.5693
26,43,4,0.0110803324099723,3,0,1,1,22.86,17.134999999999998,-0.58795
27,66,4,0.0110803324099723,3,0,1,1,21.11,9.945,-0.53085
28,40,9,0.024930747922437674,2,4,3,2,13.62,13.62,-0.5633
29,6,9,0.024930747922437674,2,3,4,2,13.05,6.37,-0.6444
30,17,5,0.013850415512465374,2,1,2,1,12.08,8.57,-0.5798
31,29,3,0.008310249307479225,2,0,1,1,25.75,25.75,-0.5504
32,38,2,0.00554016620498615,2,0,0,1,67.36,67.36,-0.58165
33,64,2,0.00554016620498615,2,0,0,1,14.56,11.39,-0.54415
34,79,8,0.0221606648199446,1,4,3,1,10.96,10.96,-0.5184
35,21,6,0.01662049861495845,1,2,3,1,12.02,11.54,-0.5627500000000001
36,94,6,0.01662049861495845,1,2,3,1,10.43,10.43,-0.5098499999999999
37,75,5,0.013850415512465374,1,2,2,2,14.73,9.81,-0.5374
38,11,5,0.013850415512465374,1,2,2,1,10.17,10.17,-0.5644
39,19,3,0.008310249307479225,1,2,0,1,19.87,9.28,-0.6227
40,76,4,0.0110803324099723,1,0,3,1,13.13,13.13,-0.5229999999999999
41,77,4,0.0110803324099723,1,0,3,1,9.15,8.805,-0.532
42,65,3,0.008310249307479225,1,0,2,1,13.09,13.09,-0.5538
43,33,3,0.008310249307479225,1,0,2,1,9.02,8.21,-0.6442
44,46,1,0.002770083102493075,1,0,0,1,28.28,28.28,-0.5283
45,48,1,0.002770083102493075,1,0,0,1,20.29,20.29,-0.5561
46,41,3,0.008310249307479225,0,3,0,1,8.98,8.86,-0.6048
47,42,1,0.002770083102493075,0,1,0,1,4.2,4.2,-0.6516
48,45,3,0.008310249307479225,0,0,3,1,13.96,13.96,-0.563
49,20,3,0.008310249307479225,0,0,3,1,11.21,11.21,-0.6263
50,69,2,0.00554016620498615,0,0,2,1,9.44,6.82,-0.60105
51,30,1,0.002770083102493075,0,0,1,1,13.44,13.44,-0.5153
52,91,1,0.002770083102493075,0,0,1,1,10.98,10.98,-0.4788
53,31,1,0.002770083102493075,0,0,1,1,10.71,10.71,-0.5537
54,59,1,0.002770083102493075,0,0,1,1,8.7,8.7,-0.5545
55,28,1,0.002770083102493075,0,0,1,1,8.06,8.06,-0.6202
56,24,0,0.0,0,0,0,0,,,
57,25,0,0.0,0,0,0,0,,,
58,35,0,0.0,0,0,0,0,,,
59,37,0,0.0,0,0,0,0,,,
60,39,0,0.0,0,0,0,0,,,
61,44,0,0.0,0,0,0,0,,,
62,47,0,0.0,0,0,0,0,,,
63,49,0,0.0,0,0,0,0,,,
64,50,0,0.0,0,0,0,0,,,
65,51,0,0.0,0,0,0,0,,,
66,52,0,0.0,0,0,0,0,,,
67,53,0,0.0,0,0,0,0,,,
68,54,0,0.0,0,0,0,0,,,
69,55,0,0.0,0,0,0,0,,,
70,56,0,0.0,0,0,0,0,,,
71,57,0,0.0,0,0,0,0,,,
72,58,0,0.0,0,0,0,0,,,
73,60,0,0.0,0,0,0,0,,,
74,61,0,0.0,0,0,0,0,,,
75,62,0,0.0,0,0,0,0,,,
76,63,0,0.0,0,0,0,0,,,
77,67,0,0.0,0,0,0,0,,,
78,68,0,0.0,0,0,0,0,,,
79,71,0,0.0,0,0,0,0,,,
80,72,0,0.0,0,0,0,0,,,
81,73,0,0.0,0,0,0,0,,,
82,74,0,0.0,0,0,0,0,,,
83,78,0,0.0,0,0,0,0,,,
84,80,0,0.0,0,0,0,0,,,
85,81,0,0.0,0,0,0,0,,,
86,83,0,0.0,0,0,0,0,,,
87,84,0,0.0,0,0,0,0,,,
88,85,0,0.0,0,0,0,0,,,
89,86,0,0.0,0,0,0,0,,,
90,87,0,0.0,0,0,0,0,,,
91,88,0,0.0,0,0,0,0,,,
92,89,0,0.0,0,0,0,0,,,
93,90,0,0.0,0,0,0,0,,,
94,92,0,0.0,0,0,0,0,,,
95,93,0,0.0,0,0,0,0,,,
96,95,0,0.0,0,0,0,0,,,
