triggered_feature,n_anomalous_row_occurrences,fraction_of_all_anomalous_rows,OK,WARN,ALERT,fraction_within_OK_anomalous_rows,fraction_within_WARN_anomalous_rows,fraction_within_ALERT_anomalous_rows,ch82_count,ch82_fraction_of_anomalous_rows,ch3_count,ch3_fraction_of_anomalous_rows,ch7_count,ch7_fraction_of_anomalous_rows,ch15_count,ch15_fraction_of_anomalous_rows,ch22_count,ch22_fraction_of_anomalous_rows,ch26_count,ch26_fraction_of_anomalous_rows,ch9_count,ch9_fraction_of_anomalous_rows,ch0_count,ch0_fraction_of_anomalous_rows,ch13_count,ch13_fraction_of_anomalous_rows,ch23_count,ch23_fraction_of_anomalous_rows
<none; IF-only>,441,0.5554156171284634,202,133,106,0.5976331360946746,0.6751269035532995,0.4092664092664093,213,0.9466666666666667,156,0.8432432432432433,10,0.43478260869565216,11,0.55,6,0.35294117647058826,0,0.0,2,0.1,2,0.10526315789473684,0,0.0,4,0.19047619047619047
nPulses_median,151,0.190176322418136,45,26,80,0.13313609467455623,0.1319796954314721,0.3088803088803089,0,0.0,0,0.0,2,0.08695652173913043,6,0.3,1,0.058823529411764705,9,0.9,11,0.55,5,0.2631578947368421,9,0.6428571428571429,0,0.0
sideband_rms_mean,38,0.04785894206549118,19,3,16,0.05621301775147929,0.015228426395939087,0.06177606177606178,0,0.0,0,0.0,0,0.0,1,0.05,1,0.058823529411764705,1,0.1,2,0.1,2,0.10526315789473684,1,0.07142857142857142,5,0.23809523809523808
nPulses_std,36,0.04534005037783375,18,6,12,0.05325443786982249,0.030456852791878174,0.04633204633204633,0,0.0,0,0.0,0,0.0,2,0.1,1,0.058823529411764705,0,0.0,0,0.0,0,0.0,0,0.0,8,0.38095238095238093
sideband_mean_median,24,0.030226700251889168,12,2,10,0.03550295857988166,0.01015228426395939,0.03861003861003861,0,0.0,0,0.0,9,0.391304347826087,0,0.0,0,0.0,0,0.0,0,0.0,3,0.15789473684210525,0,0.0,1,0.047619047619047616
pulseDuriation_min_mean,33,0.041561712846347604,17,7,9,0.05029585798816568,0.03553299492385787,0.03474903474903475,0,0.0,29,0.15675675675675677,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sideband_mean_mean,21,0.02644836272040302,7,7,7,0.020710059171597635,0.03553299492385787,0.02702702702702703,0,0.0,0,0.0,0,0.0,0,0.0,7,0.4117647058823529,0,0.0,2,0.1,0,0.0,1,0.07142857142857142,2,0.09523809523809523
pulseHeight_max_std,11,0.013853904282115869,4,1,6,0.011834319526627219,0.005076142131979695,0.023166023166023165,0,0.0,0,0.0,2,0.08695652173913043,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.14285714285714285,0,0.0
pulseDuriation_max_median,13,0.0163727959697733,7,2,4,0.020710059171597635,0.01015228426395939,0.015444015444015444,12,0.05333333333333334,1,0.005405405405405406,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pulseHeight_min_median,8,0.010075566750629723,0,5,3,0.0,0.025380710659898477,0.011583011583011582,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.1,1,0.05263157894736842,0,0.0,0,0.0
pulseArea_min_median,7,0.008816120906801008,1,3,3,0.0029585798816568047,0.015228426395939087,0.011583011583011582,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.05,0,0.0,0,0.0,0,0.0
sideband_rms_median,6,0.007556675062972292,1,2,3,0.0029585798816568047,0.01015228426395939,0.011583011583011582,0,0.0,0,0.0,0,0.0,0,0.0,1,0.058823529411764705,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pulseArea_min_mean,3,0.003778337531486146,0,0,3,0.0,0.0,0.011583011583011582,0,0.0,0,0.0,0,0.0,0,0.0,1,0.058823529411764705,0,0.0,0,0.0,0,0.0,1,0.07142857142857142,0,0.0
pulseDuriation_min_std,10,0.012594458438287154,5,3,2,0.014792899408284023,0.015228426395939087,0.007722007722007722,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.3157894736842105,0,0.0,2,0.09523809523809523
pulseDuriation_max_std,8,0.010075566750629723,4,2,2,0.011834319526627219,0.01015228426395939,0.007722007722007722,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.2631578947368421,0,0.0,2,0.09523809523809523
pulseDuriation_max_mean,4,0.005037783375314861,3,0,1,0.008875739644970414,0.0,0.003861003861003861,0,0.0,4,0.021621621621621623,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
nPulses_mean,2,0.0025188916876574307,1,0,1,0.0029585798816568047,0.0,0.003861003861003861,0,0.0,0,0.0,1,0.043478260869565216,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.047619047619047616
pulseHeight_max_median,1,0.0012594458438287153,1,0,0,0.0029585798816568047,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.05,0,0.0,0,0.0,0,0.0
