segment_type,start_sequence_index,end_sequence_index,start_subrun,end_subrun,length,n_OK,n_WARN,n_ALERT
ALERT,1,2,3,4,2,0,0,2
ALERT,45,45,100,100,1,0,0,1
ALERT,69,69,162,162,1,0,0,1
ALERT,73,73,168,168,1,0,0,1
ALERT,87,87,217,217,1,0,0,1
ALERT,92,92,223,223,1,0,0,1
ALERT,94,94,225,225,1,0,0,1
ALERT,105,105,245,245,1,0,0,1
ALERT,107,107,247,247,1,0,0,1
ALERT,110,110,253,253,1,0,0,1
ALERT,114,114,258,258,1,0,0,1
ALERT,117,118,271,272,2,0,0,2
ALERT,120,120,275,275,1,0,0,1
ALERT,123,124,285,286,2,0,0,2
ALERT,135,136,324,332,2,0,0,2
ALERT,142,143,349,353,2,0,0,2
ALERT,147,147,371,371,1,0,0,1
ALERT,151,151,383,383,1,0,0,1
ALERT,154,154,390,390,1,0,0,1
ALERT,156,156,395,395,1,0,0,1
ALERT,158,159,406,409,2,0,0,2
ALERT,168,169,439,442,2,0,0,2
ALERT,172,172,454,454,1,0,0,1
ALERT,180,180,474,474,1,0,0,1
ALERT,183,184,485,487,2,0,0,2
ALERT,186,186,493,493,1,0,0,1
ALERT,195,196,519,520,2,0,0,2
ALERT,198,198,522,522,1,0,0,1
ALERT,200,200,530,530,1,0,0,1
ALERT,204,204,544,544,1,0,0,1
ALERT,206,206,547,547,1,0,0,1
ALERT,222,222,580,580,1,0,0,1
ALERT,226,226,592,592,1,0,0,1
ALERT,236,237,614,617,2,0,0,2
ALERT,245,245,638,638,1,0,0,1
ALERT,255,255,655,655,1,0,0,1
ALERT,265,268,680,685,4,0,0,4
ALERT,272,273,697,699,2,0,0,2
ALERT,279,279,712,712,1,0,0,1
ALERT,287,289,732,735,3,0,0,3
ALERT,296,296,755,755,1,0,0,1
ALERT,308,309,781,782,2,0,0,2
ALERT,314,314,790,790,1,0,0,1
ALERT,316,316,793,793,1,0,0,1
ALERT,319,320,802,806,2,0,0,2
ALERT,323,324,819,826,2,0,0,2
ALERT,331,331,842,842,1,0,0,1
ALERT,339,339,863,863,1,0,0,1
ALERT,341,342,870,871,2,0,0,2
ALERT,355,355,892,892,1,0,0,1
ALERT,360,360,902,902,1,0,0,1
NON_OK,1,2,3,4,2,0,0,2
NON_OK,45,45,100,100,1,0,0,1
NON_OK,69,69,162,162,1,0,0,1
NON_OK,73,73,168,168,1,0,0,1
NON_OK,77,78,176,183,2,0,2,0
NON_OK,80,81,191,195,2,0,2,0
NON_OK,87,87,217,217,1,0,0,1
NON_OK,92,92,223,223,1,0,0,1
NON_OK,94,94,225,225,1,0,0,1
NON_OK,105,105,245,245,1,0,0,1
NON_OK,107,107,247,247,1,0,0,1
NON_OK,110,110,253,253,1,0,0,1
NON_OK,114,114,258,258,1,0,0,1
NON_OK,117,118,271,272,2,0,0,2
NON_OK,120,120,275,275,1,0,0,1
NON_OK,123,124,285,286,2,0,0,2
NON_OK,128,129,304,306,2,0,2,0
NON_OK,133,136,322,332,4,0,2,2
NON_OK,140,140,347,347,1,0,1,0
NON_OK,142,143,349,353,2,0,0,2
NON_OK,146,148,368,372,3,0,2,1
NON_OK,151,151,383,383,1,0,0,1
NON_OK,154,156,390,395,3,0,1,2
NON_OK,158,159,406,409,2,0,0,2
NON_OK,164,172,421,454,9,0,6,3
NON_OK,176,176,466,466,1,0,1,0
NON_OK,180,180,474,474,1,0,0,1
NON_OK,183,184,485,487,2,0,0,2
NON_OK,186,190,493,506,5,0,4,1
NON_OK,192,192,513,513,1,0,1,0
