case,source_target_run,source_target_subrun,source_target_channel,comparison_role,run,subrun,filename,channel,nPulses_value,count,fraction
typical_2088,2088,321,43,target,2088,321,Digitizer_run2088_subrun321.csv,43,1,22,0.4888888888888889
typical_2088,2088,321,43,target,2088,321,Digitizer_run2088_subrun321.csv,43,2,15,0.3333333333333333
typical_2088,2088,321,43,target,2088,321,Digitizer_run2088_subrun321.csv,43,3,6,0.13333333333333333
typical_2088,2088,321,43,target,2088,321,Digitizer_run2088_subrun321.csv,43,4,2,0.044444444444444446
typical_2088,2088,321,43,previous_OK,2088,317,Digitizer_run2088_subrun317.csv,43,1,45,0.7377049180327869
typical_2088,2088,321,43,previous_OK,2088,317,Digitizer_run2088_subrun317.csv,43,2,12,0.19672131147540983
typical_2088,2088,321,43,previous_OK,2088,317,Digitizer_run2088_subrun317.csv,43,3,3,0.04918032786885246
typical_2088,2088,321,43,previous_OK,2088,317,Digitizer_run2088_subrun317.csv,43,4,1,0.01639344262295082
typical_2088,2088,321,43,next_OK,2088,322,Digitizer_run2088_subrun322.csv,43,1,41,0.6949152542372882
typical_2088,2088,321,43,next_OK,2088,322,Digitizer_run2088_subrun322.csv,43,2,9,0.15254237288135594
typical_2088,2088,321,43,next_OK,2088,322,Digitizer_run2088_subrun322.csv,43,3,7,0.11864406779661017
typical_2088,2088,321,43,next_OK,2088,322,Digitizer_run2088_subrun322.csv,43,4,1,0.01694915254237288
typical_2088,2088,321,43,next_OK,2088,322,Digitizer_run2088_subrun322.csv,43,5,1,0.01694915254237288
sub324_context_ch19,2089,324,19,target,2089,324,Digitizer_run2089_subrun324.csv,19,1,25,0.9259259259259259
sub324_context_ch19,2089,324,19,target,2089,324,Digitizer_run2089_subrun324.csv,19,2,2,0.07407407407407407
sub324_context_ch19,2089,324,19,previous_OK,2089,323,Digitizer_run2089_subrun323.csv,19,1,20,0.625
sub324_context_ch19,2089,324,19,previous_OK,2089,323,Digitizer_run2089_subrun323.csv,19,2,9,0.28125
sub324_context_ch19,2089,324,19,previous_OK,2089,323,Digitizer_run2089_subrun323.csv,19,3,2,0.0625
sub324_context_ch19,2089,324,19,previous_OK,2089,323,Digitizer_run2089_subrun323.csv,19,5,1,0.03125
sub324_context_ch19,2089,324,19,next_OK,2089,332,Digitizer_run2089_subrun332.csv,19,1,25,0.6756756756756757
sub324_context_ch19,2089,324,19,next_OK,2089,332,Digitizer_run2089_subrun332.csv,19,2,7,0.1891891891891892
sub324_context_ch19,2089,324,19,next_OK,2089,332,Digitizer_run2089_subrun332.csv,19,3,5,0.13513513513513514
typical_2089,2089,324,26,target,2089,324,Digitizer_run2089_subrun324.csv,26,1,25,0.4098360655737705
typical_2089,2089,324,26,target,2089,324,Digitizer_run2089_subrun324.csv,26,2,19,0.3114754098360656
typical_2089,2089,324,26,target,2089,324,Digitizer_run2089_subrun324.csv,26,3,14,0.22950819672131148
typical_2089,2089,324,26,target,2089,324,Digitizer_run2089_subrun324.csv,26,4,3,0.04918032786885246
typical_2089,2089,324,26,previous_OK,2089,323,Digitizer_run2089_subrun323.csv,26,1,41,0.6212121212121212
typical_2089,2089,324,26,previous_OK,2089,323,Digitizer_run2089_subrun323.csv,26,2,17,0.25757575757575757
typical_2089,2089,324,26,previous_OK,2089,323,Digitizer_run2089_subrun323.csv,26,3,6,0.09090909090909091
typical_2089,2089,324,26,previous_OK,2089,323,Digitizer_run2089_subrun323.csv,26,4,2,0.030303030303030304
typical_2089,2089,324,26,next_OK,2089,332,Digitizer_run2089_subrun332.csv,26,1,41,0.6507936507936508
typical_2089,2089,324,26,next_OK,2089,332,Digitizer_run2089_subrun332.csv,26,2,15,0.23809523809523808
typical_2089,2089,324,26,next_OK,2089,332,Digitizer_run2089_subrun332.csv,26,3,4,0.06349206349206349
typical_2089,2089,324,26,next_OK,2089,332,Digitizer_run2089_subrun332.csv,26,4,2,0.031746031746031744
typical_2089,2089,324,26,next_OK,2089,332,Digitizer_run2089_subrun332.csv,26,7,1,0.015873015873015872
