run,position,window_size,sequence_index_start,sequence_index_end,n_ALERT,ALERT_fraction,n_bulk,n_extreme,n_persistent
2088,beginning,10,0,9,0,0.0,0,0,0
2088,end,10,193,202,2,0.2,1,2,0
2088,beginning,20,0,19,1,0.05,0,1,0
2088,end,20,183,202,4,0.2,1,4,0
2088,beginning,40,0,39,2,0.05,0,2,0
2088,end,40,163,202,5,0.125,1,5,0
2089,beginning,10,0,9,2,0.2,0,2,0
2089,end,10,359,368,2,0.2,1,2,0
2089,beginning,20,0,19,5,0.25,1,4,0
2089,end,20,349,368,3,0.15,1,3,0
2089,beginning,40,0,39,7,0.175,1,6,0
2089,end,40,329,368,7,0.175,1,7,0
