frequency_rank,channel,anomalous_subrun_count,anomalous_fraction,ALERT_subrun_anomalous_count,ALERT_subrun_presence_fraction,longest_consecutive_anomalous_streak,maximum_max_z,median_max_z_when_anomalous,median_if_score_when_anomalous
1,3,10,0.04926108374384237,1,0.043478260869565216,2,5.11,4.605,-0.6467499999999999
2,9,6,0.029556650246305417,0,0.0,1,9.32,9.32,-0.5809
3,70,6,0.029556650246305417,1,0.043478260869565216,1,11.84,11.84,-0.52825
4,82,6,0.029556650246305417,1,0.043478260869565216,1,4.57,4.140000000000001,-0.64095
5,2,5,0.024630541871921183,1,0.043478260869565216,1,10.21,10.21,-0.6045
6,10,5,0.024630541871921183,4,0.17391304347826086,1,16.81,16.81,-0.5028
7,11,5,0.024630541871921183,0,0.0,1,10.17,10.17,-0.5874
8,22,5,0.024630541871921183,3,0.13043478260869565,1,47.63,47.63,-0.6019
9,5,4,0.019704433497536946,1,0.043478260869565216,1,29.16,14.56,-0.55575
10,7,4,0.019704433497536946,3,0.13043478260869565,1,45.76,15.66,-0.60365
11,17,4,0.019704433497536946,2,0.08695652173913043,1,12.62,10.945,-0.57005
12,21,4,0.019704433497536946,0,0.0,1,11.54,9.89,-0.57595
13,43,4,0.019704433497536946,3,0.13043478260869565,1,22.86,22.86,-0.5919000000000001
14,45,4,0.019704433497536946,0,0.0,1,13.96,13.96,-0.52345
15,0,3,0.014778325123152709,0,0.0,1,9.96,9.0,-0.5941
16,1,3,0.014778325123152709,0,0.0,2,12.86,8.97,-0.5683
17,6,3,0.014778325123152709,0,0.0,1,8.34,8.05,-0.6101
18,14,3,0.014778325123152709,2,0.08695652173913043,1,17.87,17.87,-0.5824
19,15,3,0.014778325123152709,3,0.13043478260869565,2,19.7,19.7,-0.5669
20,32,3,0.014778325123152709,2,0.08695652173913043,1,13.17,13.17,-0.5451
21,40,3,0.014778325123152709,0,0.0,1,13.62,13.62,-0.5248
22,79,3,0.014778325123152709,0,0.0,1,10.96,10.96,-0.5455
23,94,3,0.014778325123152709,1,0.043478260869565216,1,10.43,10.43,-0.5427
24,12,2,0.009852216748768473,0,0.0,1,6.28,6.24,-0.6437999999999999
25,16,2,0.009852216748768473,1,0.043478260869565216,1,8.8,6.880000000000001,-0.63825
26,19,2,0.009852216748768473,0,0.0,1,7.79,6.965,-0.65745
27,20,2,0.009852216748768473,1,0.043478260869565216,1,11.21,11.21,-0.5099
28,23,2,0.009852216748768473,0,0.0,1,8.51,7.1850000000000005,-0.5794
29,26,2,0.009852216748768473,1,0.043478260869565216,1,16.07,12.035,-0.5768
30,65,2,0.009852216748768473,0,0.0,1,13.09,13.09,-0.58355
31,66,2,0.009852216748768473,2,0.08695652173913043,1,21.11,21.11,-0.5488999999999999
32,75,2,0.009852216748768473,0,0.0,1,14.73,11.515,-0.52865
33,76,2,0.009852216748768473,0,0.0,1,13.13,13.13,-0.4777
34,8,1,0.0049261083743842365,0,0.0,1,7.26,7.26,-0.6464
