channel,2088_anomaly_fraction,2089_anomaly_fraction,anomaly_fraction_difference_2089_minus_2088,2088_ALERT_presence_fraction,2089_ALERT_presence_fraction,ALERT_presence_fraction_difference_2089_minus_2088,new_anomalous_channel_in_2089
3,0.04926108374384237,0.0921409214092141,0.04287983766537173,0.043478260869565216,0.11764705882352941,0.0741687979539642,False
0,0.014778325123152709,0.051490514905149054,0.03671218978199635,0.0,0.11764705882352941,0.11764705882352941,False
1,0.014778325123152709,0.04607046070460705,0.03129213558145434,0.0,0.0392156862745098,0.0392156862745098,False
23,0.009852216748768473,0.037940379403794036,0.02808816265502556,0.0,0.058823529411764705,0.058823529411764705,False
4,0.0,0.02710027100271003,0.02710027100271003,0.0,0.0196078431372549,0.0196078431372549,True
13,0.0049261083743842365,0.024390243902439025,0.019464135528054788,0.0,0.058823529411764705,0.058823529411764705,False
9,0.029556650246305417,0.04878048780487805,0.019223837558572633,0.0,0.09803921568627451,0.09803921568627451,False
15,0.014778325123152709,0.032520325203252036,0.017742000080099327,0.13043478260869565,0.19607843137254902,0.06564364876385337,False
12,0.009852216748768473,0.02710027100271003,0.017248054253941554,0.0,0.13725490196078433,0.13725490196078433,False
34,0.0049261083743842365,0.02168021680216802,0.016754108427783784,0.043478260869565216,0.0784313725490196,0.03495311167945439,False
36,0.0049261083743842365,0.02168021680216802,0.016754108427783784,0.043478260869565216,0.0392156862745098,-0.004262574595055413,False
94,0.014778325123152709,0.02981029810298103,0.01503197297982832,0.043478260869565216,0.0392156862745098,-0.004262574595055413,False
82,0.029556650246305417,0.04336043360433604,0.013803783358030626,0.043478260869565216,0.0784313725490196,0.03495311167945439,False
5,0.019704433497536946,0.032520325203252036,0.01281589170571509,0.043478260869565216,0.13725490196078433,0.09377664109121911,False
40,0.014778325123152709,0.02710027100271003,0.01232194587955732,0.0,0.058823529411764705,0.058823529411764705,False
20,0.009852216748768473,0.02168021680216802,0.011828000053399549,0.043478260869565216,0.0196078431372549,-0.023870417732310314,False
18,0.0049261083743842365,0.016260162601626018,0.01133405422724178,0.0,0.0392156862745098,0.0392156862745098,False
27,0.0,0.01084010840108401,0.01084010840108401,0.0,0.058823529411764705,0.058823529411764705,True
14,0.014778325123152709,0.024390243902439025,0.009611918779286317,0.08695652173913043,0.0,-0.08695652173913043,False
45,0.019704433497536946,0.02710027100271003,0.007395837505173083,0.0,0.09803921568627451,0.09803921568627451,False
32,0.014778325123152709,0.02168021680216802,0.006901891679015313,0.08695652173913043,0.058823529411764705,-0.028132992327365727,False
26,0.009852216748768473,0.016260162601626018,0.006407945852857545,0.043478260869565216,0.09803921568627451,0.05456095481670929,False
65,0.009852216748768473,0.016260162601626018,0.006407945852857545,0.0,0.0196078431372549,0.0196078431372549,False
8,0.0049261083743842365,0.01084010840108401,0.005914000026699774,0.0,0.0196078431372549,0.0196078431372549,False
91,0.0049261083743842365,0.01084010840108401,0.005914000026699774,0.0,0.0196078431372549,0.0196078431372549,False
77,0.0,0.005420054200542005,0.005420054200542005,0.0,0.0,0.0,True
90,0.0,0.005420054200542005,0.005420054200542005,0.0,0.0,0.0,True
21,0.019704433497536946,0.024390243902439025,0.004685810404902079,0.0,0.0,0.0,False
6,0.014778325123152709,0.018970189701897018,0.004191864578744309,0.0,0.0392156862745098,0.0392156862745098,False
16,0.009852216748768473,0.013550135501355014,0.0036979187525865414,0.043478260869565216,0.0,-0.043478260869565216,False
33,0.0049261083743842365,0.008130081300813009,0.0032039729264287725,0.043478260869565216,0.0,-0.043478260869565216,False
31,0.0,0.0027100271002710027,0.0027100271002710027,0.0,0.0,0.0,True
38,0.0,0.0027100271002710027,0.0027100271002710027,0.0,0.0196078431372549,0.0196078431372549,True
39,0.0,0.0027100271002710027,0.0027100271002710027,0.0,0.0196078431372549,0.0196078431372549,True
41,0.0,0.0027100271002710027,0.0027100271002710027,0.0,0.0,0.0,True
47,0.0,0.0027100271002710027,0.0027100271002710027,0.0,0.0196078431372549,0.0196078431372549,True
55,0.0,0.0027100271002710027,0.0027100271002710027,0.0,0.0196078431372549,0.0196078431372549,True
64,0.0,0.0027100271002710027,0.0027100271002710027,0.0,0.0,0.0,True
67,0.0,0.0027100271002710027,0.0027100271002710027,0.0,0.0,0.0,True
83,0.0,0.0027100271002710027,0.0027100271002710027,0.0,0.0196078431372549,0.0196078431372549,True
86,0.0,0.0027100271002710027,0.0027100271002710027,0.0,0.0196078431372549,0.0196078431372549,True
88,0.0,0.0027100271002710027,0.0027100271002710027,0.0,0.0,0.0,True
89,0.0,0.0027100271002710027,0.0027100271002710027,0.0,0.0,0.0,True
10,0.024630541871921183,0.02710027100271003,0.0024697291307888454,0.17391304347826086,0.11764705882352941,-0.056265984654731455,False
7,0.019704433497536946,0.02168021680216802,0.0019757833046310756,0.13043478260869565,0.058823529411764705,-0.07161125319693094,False
29,0.0049261083743842365,0.005420054200542005,0.0004939458261577689,0.043478260869565216,0.0392156862745098,-0.004262574595055413,False
24,0.0,0.0,0.0,0.0,0.0,0.0,False
25,0.0,0.0,0.0,0.0,0.0,0.0,False
28,0.0,0.0,0.0,0.0,0.0,0.0,False
37,0.0,0.0,0.0,0.0,0.0,0.0,False
42,0.0,0.0,0.0,0.0,0.0,0.0,False
44,0.0,0.0,0.0,0.0,0.0,0.0,False
48,0.0,0.0,0.0,0.0,0.0,0.0,False
49,0.0,0.0,0.0,0.0,0.0,0.0,False
50,0.0,0.0,0.0,0.0,0.0,0.0,False
51,0.0,0.0,0.0,0.0,0.0,0.0,False
52,0.0,0.0,0.0,0.0,0.0,0.0,False
53,0.0,0.0,0.0,0.0,0.0,0.0,False
54,0.0,0.0,0.0,0.0,0.0,0.0,False
58,0.0,0.0,0.0,0.0,0.0,0.0,False
59,0.0,0.0,0.0,0.0,0.0,0.0,False
60,0.0,0.0,0.0,0.0,0.0,0.0,False
61,0.0,0.0,0.0,0.0,0.0,0.0,False
62,0.0,0.0,0.0,0.0,0.0,0.0,False
63,0.0,0.0,0.0,0.0,0.0,0.0,False
68,0.0,0.0,0.0,0.0,0.0,0.0,False
71,0.0,0.0,0.0,0.0,0.0,0.0,False
72,0.0,0.0,0.0,0.0,0.0,0.0,False
73,0.0,0.0,0.0,0.0,0.0,0.0,False
78,0.0,0.0,0.0,0.0,0.0,0.0,False
80,0.0,0.0,0.0,0.0,0.0,0.0,False
81,0.0,0.0,0.0,0.0,0.0,0.0,False
84,0.0,0.0,0.0,0.0,0.0,0.0,False
85,0.0,0.0,0.0,0.0,0.0,0.0,False
87,0.0,0.0,0.0,0.0,0.0,0.0,False
92,0.0,0.0,0.0,0.0,0.0,0.0,False
93,0.0,0.0,0.0,0.0,0.0,0.0,False
95,0.0,0.0,0.0,0.0,0.0,0.0,False
2,0.024630541871921183,0.024390243902439025,-0.00024029796948215817,0.043478260869565216,0.0,-0.043478260869565216,False
43,0.019704433497536946,0.018970189701897018,-0.000734243795639928,0.13043478260869565,0.0196078431372549,-0.11082693947144075,False
19,0.009852216748768473,0.008130081300813009,-0.001722135447955464,0.0,0.0392156862745098,0.0392156862745098,False
30,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.0,0.0,0.0,False
35,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.0,0.0196078431372549,0.0196078431372549,False
56,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.0,0.0,0.0,False
74,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.0,0.0,0.0,False
17,0.019704433497536946,0.016260162601626018,-0.003444270895910928,0.08695652173913043,0.0196078431372549,-0.06734867860187553,False
79,0.014778325123152709,0.01084010840108401,-0.003938216722068698,0.0,0.0,0.0,False
66,0.009852216748768473,0.005420054200542005,-0.004432162548226468,0.08695652173913043,0.0196078431372549,-0.06734867860187553,False
75,0.009852216748768473,0.005420054200542005,-0.004432162548226468,0.0,0.0,0.0,False
46,0.0049261083743842365,0.0,-0.0049261083743842365,0.043478260869565216,0.0,-0.043478260869565216,False
57,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,0.0,0.0,False
69,0.0049261083743842365,0.0,-0.0049261083743842365,0.043478260869565216,0.0,-0.043478260869565216,False
22,0.024630541871921183,0.018970189701897018,-0.005660352170024165,0.13043478260869565,0.058823529411764705,-0.07161125319693094,False
76,0.009852216748768473,0.0027100271002710027,-0.00714218964849747,0.0,0.0,0.0,False
70,0.029556650246305417,0.02168021680216802,-0.007876433444137396,0.043478260869565216,0.0,-0.043478260869565216,False
11,0.024630541871921183,0.016260162601626018,-0.008370379270295165,0.0,0.0,0.0,False
