channel,<none; IF-only>,nPulses_median,nPulses_std,pulseArea_max_median,pulseArea_min_mean,pulseArea_min_median,pulseDuriation_max_mean,pulseDuriation_max_std,pulseDuriation_min_mean,pulseDuriation_min_std,pulseHeight_max_median,pulseHeight_max_std,pulseHeight_min_median,sideband_mean_mean,sideband_mean_median,sideband_rms_mean
0,1,4,0,0,1,0,0,7,0,8,1,1,0,1,0,3
1,5,0,3,0,1,0,0,0,2,0,0,2,0,1,1,3
2,0,6,2,0,0,1,0,0,0,0,0,0,1,0,0,0
3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,1,0,0,0,1,0,1,0,0,1,0,1,0,3
5,0,9,1,1,0,1,0,0,0,0,1,1,0,0,0,0
6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0
8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,9,1,0,0,1,0,0,0,0,1,0,4,1,0,0
10,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1
12,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0
14,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0
17,2,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0
18,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
20,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1
21,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1
22,3,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1
23,0,2,4,0,0,0,0,4,0,5,0,0,1,0,0,2
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
