triggered_feature,overall_occurrence_count,overall_rate_per_sampled_subrun,anomalous_file_count,anomalous_file_fraction,ALERT_occurrence_count,ALERT_occurrence_rate_per_sampled_subrun,ALERT_file_count,ALERT_file_presence_fraction,extreme_only_ALERT_occurrences,bulk_only_ALERT_occurrences,bulk_extreme_ALERT_occurrences,other_ALERT_mechanism_occurrences
nPulses_median,180,0.4878048780487805,137,0.3712737127371274,77,0.2086720867208672,50,0.9803921568627451,71,1,5,0
<none; IF-only>,95,0.25745257452574527,81,0.21951219512195122,18,0.04878048780487805,15,0.29411764705882354,13,4,1,0
sideband_rms_mean,36,0.0975609756097561,27,0.07317073170731707,5,0.013550135501355014,4,0.0784313725490196,3,0,2,0
nPulses_std,23,0.06233062330623306,22,0.05962059620596206,2,0.005420054200542005,2,0.0392156862745098,2,0,0,0
pulseDuriation_min_std,14,0.037940379403794036,13,0.03523035230352303,1,0.0027100271002710027,1,0.0196078431372549,1,0,0,0
pulseDuriation_max_std,12,0.032520325203252036,11,0.02981029810298103,1,0.0027100271002710027,1,0.0196078431372549,1,0,0,0
pulseHeight_min_median,12,0.032520325203252036,12,0.032520325203252036,6,0.016260162601626018,6,0.11764705882352941,5,0,1,0
pulseArea_min_median,9,0.024390243902439025,9,0.024390243902439025,5,0.013550135501355014,5,0.09803921568627451,5,0,0,0
sideband_mean_median,8,0.02168021680216802,8,0.02168021680216802,1,0.0027100271002710027,1,0.0196078431372549,0,1,0,0
pulseHeight_max_std,6,0.016260162601626018,4,0.01084010840108401,2,0.005420054200542005,1,0.0196078431372549,0,2,0,0
sideband_mean_mean,6,0.016260162601626018,4,0.01084010840108401,0,0.0,0,0.0,0,0,0,0
pulseArea_min_mean,5,0.013550135501355014,4,0.01084010840108401,0,0.0,0,0.0,0,0,0,0
pulseHeight_max_median,5,0.013550135501355014,5,0.013550135501355014,1,0.0027100271002710027,1,0.0196078431372549,1,0,0,0
pulseArea_max_median,4,0.01084010840108401,3,0.008130081300813009,3,0.008130081300813009,2,0.0392156862745098,1,2,0,0
pulseDuriation_min_mean,3,0.008130081300813009,3,0.008130081300813009,0,0.0,0,0.0,0,0,0,0
pulseDuriation_max_mean,1,0.0027100271002710027,1,0.0027100271002710027,0,0.0,0,0.0,0,0,0,0
