run,n_sampled_subruns,n_raw_bad,raw_bad_fraction,n_OK,n_WARN,n_PEND,n_ALERT,strict_alert_fraction,all_raw_bad,all_strict_ALERT
1601,57,2,0.03508771929824561,53,0,0,4,0.07017543859649122,False,False
1602,152,1,0.006578947368421052,145,0,0,7,0.046052631578947366,False,False
1603,166,2,0.012048192771084338,162,0,0,4,0.024096385542168676,False,False
1604,256,6,0.0234375,249,0,0,7,0.02734375,False,False
1605,212,3,0.014150943396226415,205,0,0,7,0.0330188679245283,False,False
1606,167,0,0.0,165,0,0,2,0.011976047904191617,False,False
1607,171,3,0.017543859649122806,166,0,0,5,0.029239766081871343,False,False
1608,150,3,0.02,144,0,0,6,0.04,False,False
1609,201,3,0.014925373134328358,197,0,0,4,0.01990049751243781,False,False
1610,104,1,0.009615384615384616,100,0,0,4,0.038461538461538464,False,False
1611,159,2,0.012578616352201259,157,0,0,2,0.012578616352201259,False,False
1612,34,0,0.0,34,0,0,0,0.0,False,False
1613,127,2,0.015748031496062992,126,0,0,1,0.007874015748031496,False,False
1614,148,1,0.006756756756756757,145,0,0,3,0.02027027027027027,False,False
1615,128,3,0.0234375,127,0,0,1,0.0078125,False,False
1616,160,3,0.01875,157,0,0,3,0.01875,False,False
1620,104,1,0.009615384615384616,101,0,0,3,0.028846153846153848,False,False
1621,168,3,0.017857142857142856,159,0,0,9,0.05357142857142857,False,False
1622,197,1,0.005076142131979695,196,0,0,1,0.005076142131979695,False,False
1623,34,0,0.0,34,0,0,0,0.0,False,False
1624,167,3,0.017964071856287425,162,0,0,5,0.029940119760479042,False,False
1625,126,1,0.007936507936507936,124,0,0,2,0.015873015873015872,False,False
1626,167,2,0.011976047904191617,164,0,0,3,0.017964071856287425,False,False
1627,167,0,0.0,164,0,0,3,0.017964071856287425,False,False
1628,34,0,0.0,34,0,0,0,0.0,False,False
1629,164,0,0.0,163,0,0,1,0.006097560975609756,False,False
1630,210,3,0.014285714285714285,201,0,0,9,0.04285714285714286,False,False
1631,93,1,0.010752688172043012,91,0,0,2,0.021505376344086023,False,False
1632,309,5,0.016181229773462782,301,0,0,8,0.025889967637540454,False,False
1633,191,4,0.020942408376963352,183,0,0,8,0.041884816753926704,False,False
1634,169,5,0.029585798816568046,163,0,0,6,0.03550295857988166,False,False
1636,173,1,0.005780346820809248,171,0,0,2,0.011560693641618497,False,False
1644,84,1,0.011904761904761904,83,0,0,1,0.011904761904761904,False,False
1645,238,3,0.012605042016806723,229,0,0,9,0.037815126050420166,False,False
1646,192,2,0.010416666666666666,188,0,0,4,0.020833333333333332,False,False
1647,34,1,0.029411764705882353,33,0,0,1,0.029411764705882353,False,False
1648,147,2,0.013605442176870748,141,0,0,6,0.04081632653061224,False,False
1649,31,0,0.0,30,0,0,1,0.03225806451612903,False,False
1650,202,2,0.009900990099009901,199,0,0,3,0.01485148514851485,False,False
1651,178,2,0.011235955056179775,175,0,0,3,0.016853932584269662,False,False
1658,98,0,0.0,96,0,0,2,0.02040816326530612,False,False
1659,176,2,0.011363636363636364,170,0,0,6,0.03409090909090909,False,False
1660,167,1,0.005988023952095809,165,0,0,2,0.011976047904191617,False,False
1661,222,1,0.0045045045045045045,216,0,0,6,0.02702702702702703,False,False
1662,123,1,0.008130081300813009,120,0,0,3,0.024390243902439025,False,False
1678,152,2,0.013157894736842105,147,0,0,5,0.03289473684210526,False,False
1679,176,2,0.011363636363636364,174,0,0,2,0.011363636363636364,False,False
1680,183,3,0.01639344262295082,177,0,0,6,0.03278688524590164,False,False
1681,265,5,0.018867924528301886,259,0,0,6,0.022641509433962263,False,False
1682,62,1,0.016129032258064516,61,0,0,1,0.016129032258064516,False,False
1683,173,1,0.005780346820809248,171,0,0,2,0.011560693641618497,False,False
1684,34,0,0.0,33,0,0,1,0.029411764705882353,False,False
1685,116,1,0.008620689655172414,114,0,0,2,0.017241379310344827,False,False
